seed,mechanism,best_action_match,regret,rank_accuracy,outcome_mse,parameter_count,cost_bytes,n_train,n_test
3,permuted_history_control,0.605,-0.13968411087989807,0.7833333333333333,0.10293854027986526,8630,34520.0,1200,200
4,learned_state_only,0.8,-0.3596780002117157,0.6533333333333333,63.002017974853516,9555,38220.0,1200,200
4,learned_action_only,0.48,-0.1826193779706955,0.47,34.077362060546875,3,12.0,1200,200
4,raw_memory_full,0.275,-0.26965534687042236,0.6383333333333333,0.3225459158420563,28800,115200.0,1200,200
4,raw_memory_equal_cost,0.19,-0.30548903346061707,0.5983333333333334,0.5204830765724182,2376,9504.0,1200,200
4,prototype_memory,0.165,-0.3229903944581747,0.5733333333333334,0.613238100526529,480,1920.0,1200,200
4,aep_compressor,0.405,-0.16734687983989716,0.73,0.10443667322397232,13033,52132.0,1200,200
4,residual_compressor,0.56,-0.14957650005817413,0.7683333333333333,0.10081221908330917,8630,34520.0,1200,200
4,centered_residual,0.595,-0.1790841668844223,0.7666666666666667,0.12765341997146606,8630,34520.0,1200,200
4,counterfactual_compressor,0.775,-0.2657967507839203,0.68,29.142066955566406,9555,38220.0,1200,200
4,causal_contrast,0.445,-0.16092608869075775,0.75,0.09785453230142593,8307,33228.0,1200,200
4,residual_adversarial,0.485,-0.17253637313842773,0.75,0.10556461662054062,10119,40476.0,1200,200
4,shuffled_action_control,0.385,-0.0586414560675621,0.44,1.0668476819992065,8630,34520.0,1200,200
4,permuted_history_control,0.375,-0.19296851754188538,0.715,0.11330924928188324,8630,34520.0,1200,200
