threshold,margin,val_reward,test_reward,delta_vs_BS,switch_count,beneficial_switch_rate,harmful_switch_rate,false_switch_rate
0.6,0.0,0.7275000214576721,0.6650000214576721,0.06999999284744263,192,0.07291666666666667,0.0,0.328125
0.6,0.02,0.7275000214576721,0.6650000214576721,0.06999999284744263,192,0.07291666666666667,0.0,0.328125
0.6,0.05,0.7275000214576721,0.6650000214576721,0.06999999284744263,192,0.07291666666666667,0.0,0.328125
0.6,0.1,0.7275000214576721,0.6650000214576721,0.06999999284744263,192,0.07291666666666667,0.0,0.328125
0.7,0.0,0.7225000262260437,0.6600000262260437,0.06499999761581421,186,0.06989247311827956,0.0,0.3172043010752688
0.7,0.02,0.7225000262260437,0.6600000262260437,0.06499999761581421,186,0.06989247311827956,0.0,0.3172043010752688
0.7,0.05,0.7225000262260437,0.6600000262260437,0.06499999761581421,186,0.06989247311827956,0.0,0.3172043010752688
0.7,0.1,0.7225000262260437,0.6600000262260437,0.06499999761581421,186,0.06989247311827956,0.0,0.3172043010752688
0.8,0.0,0.7124999761581421,0.6449999809265137,0.04999995231628418,176,0.056818181818181816,0.0,0.3181818181818182
0.8,0.02,0.7124999761581421,0.6449999809265137,0.04999995231628418,176,0.056818181818181816,0.0,0.3181818181818182
0.8,0.05,0.7124999761581421,0.6449999809265137,0.04999995231628418,176,0.056818181818181816,0.0,0.3181818181818182
0.8,0.1,0.7124999761581421,0.6449999809265137,0.04999995231628418,176,0.056818181818181816,0.0,0.3181818181818182
0.9,0.0,0.6974999904632568,0.6399999856948853,0.04499995708465576,155,0.05806451612903226,0.0,0.3419354838709677
0.9,0.02,0.6974999904632568,0.6399999856948853,0.04499995708465576,155,0.05806451612903226,0.0,0.3419354838709677
0.9,0.05,0.6974999904632568,0.6399999856948853,0.04499995708465576,155,0.05806451612903226,0.0,0.3419354838709677
0.9,0.1,0.6974999904632568,0.6399999856948853,0.04499995708465576,155,0.05806451612903226,0.0,0.3419354838709677
0.5,0.0,0.7475000023841858,0.6600000262260437,0.08500003814697266,197,0.10152284263959391,0.015228426395939087,0.3401015228426396
0.5,0.02,0.7475000023841858,0.6600000262260437,0.08500003814697266,197,0.10152284263959391,0.015228426395939087,0.3401015228426396
0.5,0.05,0.7475000023841858,0.6600000262260437,0.08500003814697266,197,0.10152284263959391,0.015228426395939087,0.3401015228426396
0.5,0.1,0.7475000023841858,0.6600000262260437,0.08500003814697266,197,0.10152284263959391,0.015228426395939087,0.3401015228426396
0.6,0.0,0.7425000071525574,0.6449999809265137,0.06999999284744263,185,0.08648648648648649,0.010810810810810811,0.35135135135135137
0.6,0.02,0.7425000071525574,0.6449999809265137,0.06999999284744263,185,0.08648648648648649,0.010810810810810811,0.35135135135135137
0.6,0.05,0.7425000071525574,0.6449999809265137,0.06999999284744263,185,0.08648648648648649,0.010810810810810811,0.35135135135135137
0.6,0.1,0.7425000071525574,0.6449999809265137,0.06999999284744263,185,0.08648648648648649,0.010810810810810811,0.35135135135135137
0.7,0.0,0.7400000095367432,0.6449999809265137,0.06999999284744263,173,0.08092485549132948,0.0,0.3583815028901734
0.7,0.02,0.7400000095367432,0.6449999809265137,0.06999999284744263,173,0.08092485549132948,0.0,0.3583815028901734
0.7,0.05,0.7400000095367432,0.6449999809265137,0.06999999284744263,173,0.08092485549132948,0.0,0.3583815028901734
0.7,0.1,0.7400000095367432,0.6449999809265137,0.06999999284744263,173,0.08092485549132948,0.0,0.3583815028901734
0.8,0.0,0.7300000190734863,0.6399999856948853,0.06499999761581421,163,0.07975460122699386,0.0,0.3619631901840491
0.8,0.02,0.7300000190734863,0.6399999856948853,0.06499999761581421,163,0.07975460122699386,0.0,0.3619631901840491
0.8,0.05,0.7300000190734863,0.6399999856948853,0.06499999761581421,163,0.07975460122699386,0.0,0.3619631901840491
0.8,0.1,0.7300000190734863,0.6399999856948853,0.06499999761581421,163,0.07975460122699386,0.0,0.3619631901840491
0.9,0.0,0.7200000286102295,0.625,0.050000011920928955,140,0.07142857142857142,0.0,0.38571428571428573
0.9,0.02,0.7200000286102295,0.625,0.050000011920928955,140,0.07142857142857142,0.0,0.38571428571428573
0.9,0.05,0.7200000286102295,0.625,0.050000011920928955,140,0.07142857142857142,0.0,0.38571428571428573
0.9,0.1,0.7200000286102295,0.625,0.050000011920928955,140,0.07142857142857142,0.0,0.38571428571428573
0.5,0.0,0.6899999976158142,0.7450000047683716,0.019999980926513672,199,0.04522613065326633,0.02512562814070352,0.2562814070351759
0.5,0.02,0.6899999976158142,0.7450000047683716,0.019999980926513672,199,0.04522613065326633,0.02512562814070352,0.2562814070351759
0.5,0.05,0.6899999976158142,0.7450000047683716,0.019999980926513672,199,0.04522613065326633,0.02512562814070352,0.2562814070351759
0.5,0.1,0.6899999976158142,0.7450000047683716,0.019999980926513672,199,0.04522613065326633,0.02512562814070352,0.2562814070351759
0.6,0.0,0.6924999952316284,0.7400000095367432,0.014999985694885254,182,0.038461538461538464,0.02197802197802198,0.25824175824175827
0.6,0.02,0.6924999952316284,0.7400000095367432,0.014999985694885254,182,0.038461538461538464,0.02197802197802198,0.25824175824175827
0.6,0.05,0.6924999952316284,0.7400000095367432,0.014999985694885254,182,0.038461538461538464,0.02197802197802198,0.25824175824175827
0.6,0.1,0.6924999952316284,0.7400000095367432,0.014999985694885254,182,0.038461538461538464,0.02197802197802198,0.25824175824175827
0.7,0.0,0.6850000023841858,0.7400000095367432,0.014999985694885254,169,0.029585798816568046,0.011834319526627219,0.2485207100591716
0.7,0.02,0.6850000023841858,0.7400000095367432,0.014999985694885254,169,0.029585798816568046,0.011834319526627219,0.2485207100591716
0.7,0.05,0.6850000023841858,0.7400000095367432,0.014999985694885254,169,0.029585798816568046,0.011834319526627219,0.2485207100591716
0.7,0.1,0.6850000023841858,0.7400000095367432,0.014999985694885254,169,0.029585798816568046,0.011834319526627219,0.2485207100591716
0.8,0.0,0.6775000095367432,0.7350000143051147,0.009999990463256836,159,0.018867924528301886,0.006289308176100629,0.2578616352201258
0.8,0.02,0.6775000095367432,0.7350000143051147,0.009999990463256836,159,0.018867924528301886,0.006289308176100629,0.2578616352201258
0.8,0.05,0.6775000095367432,0.7350000143051147,0.009999990463256836,159,0.018867924528301886,0.006289308176100629,0.2578616352201258
0.8,0.1,0.6775000095367432,0.7350000143051147,0.009999990463256836,159,0.018867924528301886,0.006289308176100629,0.2578616352201258
0.9,0.0,0.6600000262260437,0.7350000143051147,0.009999990463256836,137,0.014598540145985401,0.0,0.291970802919708
0.9,0.02,0.6600000262260437,0.7350000143051147,0.009999990463256836,137,0.014598540145985401,0.0,0.291970802919708
0.9,0.05,0.6600000262260437,0.7350000143051147,0.009999990463256836,137,0.014598540145985401,0.0,0.291970802919708
0.9,0.1,0.6600000262260437,0.7350000143051147,0.009999990463256836,137,0.014598540145985401,0.0,0.291970802919708
