seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,2999,1,"[-2.280174732208252, -2.3039309978485107]","[-3.099548101425171, -3.1233043670654297]","[-3.9189212322235107, -3.9426774978637695]","[0.819373369216919, 0.819373369216919]","[-0.8193731307983398, -0.8193731307983398]",-1,1
0,2999,3,"[-0.4253177046775818, -0.57155442237854]","[-2.762579917907715, -2.9088165760040283]","[-5.099842071533203, -5.2460784912109375]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.337261915206909]",-1,1
0,2999,5,"[-1.9221469163894653, -2.1707234382629395]","[-2.433748483657837, -2.6823248863220215]","[-2.94534969329834, -3.193925619125366]","[0.5116015672683716, 0.511601448059082]","[-0.5116012096405029, -0.5116007328033447]",-1,1
0,1560,1,"[0.20145687460899353, 0.39598873257637024]","[-0.6179164052009583, -0.42338451743125916]","[-1.4372895956039429, -1.242757797241211]","[0.8193732500076294, 0.8193732500076294]","[-0.8193731904029846, -0.8193732500076294]",-1,1
0,1560,3,"[1.8143547773361206, 1.8651231527328491]","[-0.5229073762893677, -0.4721389710903168]","[-2.8601694107055664, -2.809401273727417]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,1560,5,"[0.09915741533041, 0.028378039598464966]","[-0.4124438762664795, -0.48322317004203796]","[-0.9240449666976929, -0.9948245286941528]","[0.5116012692451477, 0.5116012096405029]","[-0.5116010904312134, -0.5116013288497925]",-1,1
0,2792,1,"[4.052634239196777, 4.216721057891846]","[3.2332608699798584, 3.3973476886749268]","[2.4138875007629395, 2.577974319458008]","[0.819373369216919, 0.819373369216919]","[-0.819373369216919, -0.819373369216919]",-1,1
0,2792,3,"[5.290042400360107, 5.313333988189697]","[2.95278000831604, 2.976071834564209]","[0.6155178546905518, 0.6388095021247864]","[2.3372623920440674, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,2792,5,"[3.2359652519226074, 3.140388250350952]","[2.7243640422821045, 2.628787040710449]","[2.2127628326416016, 2.117185592651367]","[0.5116012096405029, 0.5116012096405029]","[-0.5116012096405029, -0.511601448059082]",-1,1
0,365,1,"[0.47995465993881226, 0.5386425852775574]","[-0.33941859006881714, -0.280730664730072]","[-1.1587917804718018, -1.1001039743423462]","[0.8193732500076294, 0.8193732500076294]","[-0.8193731904029846, -0.8193733096122742]",-1,1
0,365,3,"[2.0656991004943848, 1.9938682317733765]","[-0.2715631127357483, -0.34339389204978943]","[-2.608825206756592, -2.6806561946868896]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,365,5,"[0.32599565386772156, 0.14457054436206818]","[-0.18560566008090973, -0.36703070998191833]","[-0.6972067952156067, -0.878632128238678]","[0.5116013288497925, 0.5116012692451477]","[-0.5116011500358582, -0.511601448059082]",-1,1
0,2767,1,"[1.1672534942626953, 1.4778807163238525]","[1.9866267442703247, 2.2972538471221924]","[2.805999994277954, 3.1166272163391113]","[-0.8193732500076294, -0.8193731307983398]","[0.8193732500076294, 0.819373369216919]",1,0
0,2767,3,"[-0.5095694065093994, -0.3540249764919281]","[1.8276928663253784, 1.9832370281219482]","[4.164955139160156, 4.320499420166016]","[-2.3372621536254883, -2.337261915206909]","[2.3372621536254883, 2.3372623920440674]",1,0
0,2767,5,"[1.197371482849121, 1.2211525440216064]","[1.7089728116989136, 1.7327537536621094]","[2.220574378967285, 2.2443549633026123]","[-0.5116013288497925, -0.5116012096405029]","[0.5116015672683716, 0.5116012096405029]",1,0
