seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
3,81,1,"[1.749768614768982, 1.707055687904358]","[1.0497686862945557, 1.007055640220642]","[0.34976866841316223, 0.3070557117462158]","[0.6999999284744263, 0.7000000476837158]","[-0.7000000476837158, -0.6999999284744263]",-1,1
3,81,3,"[2.8436279296875, 2.8675460815429688]","[0.8888288140296936, 0.9127470850944519]","[-1.0659703016281128, -1.042051911354065]","[1.9547991752624512, 1.954798936843872]","[-1.9547991752624512, -1.954798936843872]",-1,1
3,81,5,"[3.780937671661377, 3.7622759342193604]","[0.7427637577056885, 0.7241023182868958]","[-2.295409917831421, -2.3140714168548584]","[3.0381739139556885, 3.0381736755371094]","[-3.0381736755371094, -3.0381736755371094]",-1,1
3,1277,1,"[0.7515536546707153, 0.6619071364402771]","[1.4515535831451416, 1.3619071245193481]","[2.1515536308288574, 2.0619070529937744]","[-0.6999999284744263, -0.699999988079071]","[0.7000000476837158, 0.6999999284744263]",1,0
3,1277,3,"[-0.7190751433372498, -0.735678493976593]","[1.235723853111267, 1.2191206216812134]","[3.1905229091644287, 3.173919439315796]","[-1.954798936843872, -1.9547991752624512]","[1.9547990560531616, 1.9547988176345825]",1,0
3,1277,5,"[-1.9959059953689575, -2.049553155899048]","[1.0422676801681519, 0.9886205792427063]","[4.080441474914551, 4.026793956756592]","[-3.0381736755371094, -3.0381736755371094]","[3.0381736755371094, 3.0381734371185303]",1,0
3,1905,1,"[-2.1924169063568115, -2.26884126663208]","[-1.4924168586730957, -1.5688412189483643]","[-0.7924168705940247, -0.8688411712646484]","[-0.7000000476837158, -0.7000000476837158]","[0.699999988079071, 0.7000000476837158]",1,0
3,1905,3,"[-3.260855197906494, -3.266042709350586]","[-1.306056022644043, -1.3112436532974243]","[0.6487429738044739, 0.6435554623603821]","[-1.9547991752624512, -1.9547990560531616]","[1.954798936843872, 1.9547991752624512]",1,0
3,1905,5,"[-4.190440654754639, -4.234231472015381]","[-1.1522669792175293, -1.1960580348968506]","[1.8859068155288696, 1.842115879058838]","[-3.0381736755371094, -3.0381734371185303]","[3.0381736755371094, 3.0381739139556885]",1,0
3,1353,1,"[0.7333981990814209, 0.543601930141449]","[1.4333981275558472, 1.24360191822052]","[2.1333980560302734, 1.9436018466949463]","[-0.6999999284744263, -0.699999988079071]","[0.6999999284744263, 0.6999999284744263]",1,0
3,1353,3,"[-0.7347503304481506, -0.8378214240074158]","[1.2200486660003662, 1.1169776916503906]","[3.1748478412628174, 3.0717766284942627]","[-1.954798936843872, -1.9547991752624512]","[1.9547991752624512, 1.954798936843872]",1,0
3,1353,5,"[-2.009439706802368, -2.137742042541504]","[1.0287340879440308, 0.9004319310188293]","[4.06690788269043, 3.938605546951294]","[-3.0381736755371094, -3.0381739139556885]","[3.0381736755371094, 3.0381736755371094]",1,0
