seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
9,908,1,"[-0.6565117835998535, -0.7085921168327332]","[-1.3565117120742798, -1.4085921049118042]","[-2.056511640548706, -2.1085920333862305]","[0.6999999284744263, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,0
9,908,3,"[-0.6565117835998535, -0.7085921168327332]","[-1.3565117120742798, -1.4085921049118042]","[-2.056511640548706, -2.1085920333862305]","[0.6999999284744263, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,0
9,908,5,"[-0.6565117835998535, -0.7085921168327332]","[-1.3565117120742798, -1.4085921049118042]","[-2.056511640548706, -2.1085920333862305]","[0.6999999284744263, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,0
9,2508,1,"[3.572019100189209, 3.5600767135620117]","[2.8720192909240723, 2.860076665878296]","[2.1720192432403564, 2.16007661819458]","[0.6999998092651367, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,0
9,2508,3,"[3.572019100189209, 3.5600767135620117]","[2.8720192909240723, 2.860076665878296]","[2.1720192432403564, 2.16007661819458]","[0.6999998092651367, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,0
9,2508,5,"[3.572019100189209, 3.5600767135620117]","[2.8720192909240723, 2.860076665878296]","[2.1720192432403564, 2.16007661819458]","[0.6999998092651367, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,0
9,195,1,"[0.11025581508874893, 0.045594118535518646]","[-0.5897441506385803, -0.6544058918952942]","[-1.2897441387176514, -1.3544058799743652]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,195,3,"[0.11025581508874893, 0.045594118535518646]","[-0.5897441506385803, -0.6544058918952942]","[-1.2897441387176514, -1.3544058799743652]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,195,5,"[0.11025581508874893, 0.045594118535518646]","[-0.5897441506385803, -0.6544058918952942]","[-1.2897441387176514, -1.3544058799743652]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,1560,1,"[-1.5175809860229492, -1.7301698923110962]","[-2.217581033706665, -2.4301698207855225]","[-2.9175808429718018, -3.1301698684692383]","[0.7000000476837158, 0.6999999284744263]","[-0.6999998092651367, -0.7000000476837158]",-1,0
9,1560,3,"[-1.5175809860229492, -1.7301698923110962]","[-2.217581033706665, -2.4301698207855225]","[-2.9175808429718018, -3.1301698684692383]","[0.7000000476837158, 0.6999999284744263]","[-0.6999998092651367, -0.7000000476837158]",-1,0
9,1560,5,"[-1.5175809860229492, -1.7301698923110962]","[-2.217581033706665, -2.4301698207855225]","[-2.9175808429718018, -3.1301698684692383]","[0.7000000476837158, 0.6999999284744263]","[-0.6999998092651367, -0.7000000476837158]",-1,0
9,668,1,"[-1.8544386625289917, -1.9946013689041138]","[-1.1544387340545654, -1.294601321220398]","[-0.454438716173172, -0.5946013927459717]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999999284744263]",1,1
9,668,3,"[-1.8544386625289917, -1.9946013689041138]","[-1.1544387340545654, -1.294601321220398]","[-0.454438716173172, -0.5946013927459717]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999999284744263]",1,1
9,668,5,"[-1.8544386625289917, -1.9946013689041138]","[-1.1544387340545654, -1.294601321220398]","[-0.454438716173172, -0.5946013927459717]","[-0.6999999284744263, -0.7000000476837158]","[0.7000000476837158, 0.6999999284744263]",1,1
9,1006,1,"[-3.1575310230255127, -3.131824254989624]","[-2.457530975341797, -2.431824207305908]","[-1.7575310468673706, -1.731824278831482]","[-0.7000000476837158, -0.7000000476837158]","[0.6999999284744263, 0.6999999284744263]",1,1
9,1006,3,"[-3.1575310230255127, -3.131824254989624]","[-2.457530975341797, -2.431824207305908]","[-1.7575310468673706, -1.731824278831482]","[-0.7000000476837158, -0.7000000476837158]","[0.6999999284744263, 0.6999999284744263]",1,1
9,1006,5,"[-3.1575310230255127, -3.131824254989624]","[-2.457530975341797, -2.431824207305908]","[-1.7575310468673706, -1.731824278831482]","[-0.7000000476837158, -0.7000000476837158]","[0.6999999284744263, 0.6999999284744263]",1,1
9,2285,1,"[-0.060243457555770874, -0.35916343331336975]","[0.6397565603256226, 0.3408365547657013]","[1.3397564888000488, 1.0408365726470947]","[-0.7000000476837158, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,1
9,2285,3,"[-0.060243457555770874, -0.35916343331336975]","[0.6397565603256226, 0.3408365547657013]","[1.3397564888000488, 1.0408365726470947]","[-0.7000000476837158, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,1
9,2285,5,"[-0.060243457555770874, -0.35916343331336975]","[0.6397565603256226, 0.3408365547657013]","[1.3397564888000488, 1.0408365726470947]","[-0.7000000476837158, -0.699999988079071]","[0.6999999284744263, 0.7000000476837158]",1,1
9,1912,1,"[-1.0583686828613281, -0.843639075756073]","[-1.7583686113357544, -1.543639063835144]","[-2.4583685398101807, -2.2436389923095703]","[0.6999999284744263, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,0
9,1912,3,"[-1.0583686828613281, -0.843639075756073]","[-1.7583686113357544, -1.543639063835144]","[-2.4583685398101807, -2.2436389923095703]","[0.6999999284744263, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,0
9,1912,5,"[-1.0583686828613281, -0.843639075756073]","[-1.7583686113357544, -1.543639063835144]","[-2.4583685398101807, -2.2436389923095703]","[0.6999999284744263, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,0
9,624,1,"[0.37282004952430725, 0.12103250622749329]","[1.0728200674057007, 0.8210324645042419]","[1.772819995880127, 1.521032452583313]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.699999988079071]",1,1
9,624,3,"[0.37282004952430725, 0.12103250622749329]","[1.0728200674057007, 0.8210324645042419]","[1.772819995880127, 1.521032452583313]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.699999988079071]",1,1
9,624,5,"[0.37282004952430725, 0.12103250622749329]","[1.0728200674057007, 0.8210324645042419]","[1.772819995880127, 1.521032452583313]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.699999988079071]",1,1
9,1830,1,"[-1.107646107673645, -1.0337836742401123]","[-0.407646119594574, -0.33378368616104126]","[0.29235386848449707, 0.3662163019180298]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
9,1830,3,"[-1.107646107673645, -1.0337836742401123]","[-0.407646119594574, -0.33378368616104126]","[0.29235386848449707, 0.3662163019180298]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
9,1830,5,"[-1.107646107673645, -1.0337836742401123]","[-0.407646119594574, -0.33378368616104126]","[0.29235386848449707, 0.3662163019180298]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,1
9,995,1,"[0.5775658488273621, 0.6515356302261353]","[-0.12243413925170898, -0.0484643429517746]","[-0.82243412733078, -0.7484643459320068]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,995,3,"[0.5775658488273621, 0.6515356302261353]","[-0.12243413925170898, -0.0484643429517746]","[-0.82243412733078, -0.7484643459320068]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
