step,strategy,best_action_match,n_seeds,level
74,nomemory,0.445,100,S3
75,nomemory,0.445,100,S3
76,nomemory,0.445,100,S3
77,nomemory,0.445,100,S3
78,nomemory,0.445,100,S3
79,nomemory,0.445,100,S3
80,nomemory,0.445,100,S3
81,nomemory,0.445,100,S3
82,nomemory,0.445,100,S3
83,nomemory,0.445,100,S3
84,nomemory,0.445,100,S3
85,nomemory,0.445,100,S3
86,nomemory,0.445,100,S3
87,nomemory,0.445,100,S3
88,nomemory,0.445,100,S3
89,nomemory,0.445,100,S3
90,nomemory,0.445,100,S3
91,nomemory,0.445,100,S3
92,nomemory,0.445,100,S3
93,nomemory,0.445,100,S3
94,nomemory,0.445,100,S3
95,nomemory,0.445,100,S3
96,nomemory,0.445,100,S3
97,nomemory,0.445,100,S3
98,nomemory,0.445,100,S3
99,nomemory,0.445,100,S3
100,nomemory,0.445,100,S3
