regime,mechanism,match,total_capital_cost,performance_per_byte,on_pareto_frontier,is_best_match,is_best_efficiency,dominated
utility_risk_threshold,AEPCompressor,0.595,62932.0,9.454649462912349e-06,False,False,False,True
utility_risk_threshold,MultiGoalPolicyClone,0.72,38220.0,1.8838304552590268e-05,True,True,True,False
utility_risk_threshold,PrototypeOutcomeTable,0.095,16200.0,5.864197530864198e-06,False,False,False,True
utility_risk_threshold,RawMemoryOutcomeTableFull,0.155,15768.0,9.830035514967023e-06,True,False,False,False
utility_risk_threshold,ResidualCompressor,0.555,45320.0,1.2246248896734334e-05,False,False,False,True
utility_simple_linear,AEPCompressor,0.995,62932.0,1.581071632873578e-05,False,False,False,True
utility_simple_linear,MultiGoalPolicyClone,0.035,38220.0,9.157509157509158e-07,False,False,False,True
utility_simple_linear,PrototypeOutcomeTable,0.995,16200.0,6.141975308641975e-05,False,False,False,True
utility_simple_linear,RawMemoryOutcomeTableFull,0.995,15768.0,6.310248604769152e-05,True,False,True,False
utility_simple_linear,ResidualCompressor,1.0,45320.0,2.206531332744925e-05,True,True,False,False
utility_target,AEPCompressor,0.995,62932.0,1.581071632873578e-05,False,False,False,True
utility_target,MultiGoalPolicyClone,0.06,38220.0,1.5698587127158554e-06,False,False,False,True
utility_target,PrototypeOutcomeTable,0.995,16200.0,6.141975308641975e-05,False,False,False,True
utility_target,RawMemoryOutcomeTableFull,0.995,15768.0,6.310248604769152e-05,True,False,True,False
utility_target,ResidualCompressor,1.0,45320.0,2.206531332744925e-05,True,True,False,False
memory_budget_avg,AEPCompressor,0.9293750000000001,41944.0,3.74652165737743e-05,True,True,False,False
memory_budget_avg,PrototypeOutcomeTable,0.8992346938775511,25302.85714285714,5.0766827654582756e-05,True,False,False,False
memory_budget_avg,RawMemoryOutcomeTableFull,0.89,11904.0,7.585517934170692e-05,True,False,True,False
memory_budget_avg,ResidualCompressor,0.9204464285714286,31552.0,4.191645340345634e-05,True,False,False,False
memory_budget_avg,StandardizedKNNOutcomeTable,0.89,11904.0,7.585517934170692e-05,False,False,True,True
