budget_type,budget,mechanism,utility,match,stored_bytes,inference_ops,total_capital_cost,performance_per_byte
memory_samples,1000,RawMemoryOutcomeTableFull,H_linear_3,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_linear_3,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_linear_4,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_linear_4,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_linear_5,0.985,972,648,11772,8.367312266394834e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_linear_5,0.985,972,648,11772,8.367312266394834e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_target_6,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_target_6,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_target_7,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_target_7,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_target_8,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_target_8,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_target_9,0.49,972,648,11772,4.162419300033979e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_target_9,0.49,972,648,11772,4.162419300033979e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_target_10,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_target_10,0.995,972,648,11772,8.45225959904859e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_piecewise_15,0.485,972,648,11772,4.119945633707101e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_piecewise_15,0.485,972,648,11772,4.119945633707101e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_piecewise_18,0.485,972,648,11772,4.119945633707101e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_piecewise_18,0.485,972,648,11772,4.119945633707101e-05
memory_samples,1000,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,972,648,11772,8.494733265375468e-05
memory_samples,1000,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,972,648,11772,8.494733265375468e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_linear_0,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_linear_0,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_linear_1,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_linear_1,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_linear_2,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_linear_2,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_linear_3,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_linear_3,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_linear_4,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_linear_4,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_linear_5,0.985,2916,1944,13716,7.181393992417614e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_linear_5,0.985,2916,1944,13716,7.181393992417614e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_target_6,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_target_6,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_target_7,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_target_7,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_target_8,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_target_8,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_target_9,0.515,2916,1944,13716,3.7547389909594634e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_target_9,0.515,2916,1944,13716,3.7547389909594634e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_target_10,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_target_10,0.995,2916,1944,13716,7.254301545640128e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_piecewise_15,0.5,2916,1944,13716,3.645377661125693e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_piecewise_15,0.5,2916,1944,13716,3.645377661125693e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_piecewise_18,0.5,2916,1944,13716,3.645377661125693e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_piecewise_18,0.5,2916,1944,13716,3.645377661125693e-05
memory_samples,3000,RawMemoryOutcomeTableFull,H_multiobj_24,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,3000,StandardizedKNNOutcomeTable,H_multiobj_24,1.0,2916,1944,13716,7.290755322251386e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_linear_0,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_linear_0,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_linear_1,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_linear_1,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_linear_2,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_linear_2,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_linear_3,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_linear_3,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_linear_4,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_linear_4,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_linear_5,0.985,4968,3312,15768,6.246829020801624e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_linear_5,0.985,4968,3312,15768,6.246829020801624e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_target_6,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_target_6,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_target_7,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_target_7,1.0,4968,3312,15768,6.341958396752917e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_target_8,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_target_8,0.995,4968,3312,15768,6.310248604769152e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_target_9,0.61,4968,3312,15768,3.8685946220192795e-05
memory_samples,5000,StandardizedKNNOutcomeTable,H_target_9,0.61,4968,3312,15768,3.8685946220192795e-05
memory_samples,5000,RawMemoryOutcomeTableFull,H_target_10,0.995,4968,3312,15768,6.310248604769152e-05
