state_dim,utility,utility_type,mechanism,heldout_match,far_ood_match,mean_nn_distance,total_capital_cost,parameter_cost_bytes,training_data_cost_bytes,inference_cost_ops,performance_per_byte
2,H_target_8,target,CounterfactualCompressor,0.15333333333333332,0.585,1.6966583966215452,59820,38220,0,0,2.563245291429845e-06
2,H_target_8,target,PolicyClone,0.041666666666666664,0.055,1.6966583966215452,38220,38220,0,0,1.090179661608233e-06
2,H_target_8,target,RawMemoryOutcomeTableFull,0.9633333333333334,0.975,1.6966583966215452,26568,0,4968,3312,3.6259158887885175e-05
2,H_target_8,target,StandardizedKNNOutcomeTable,0.9633333333333334,0.975,1.6966583966215452,4968,0,4968,3312,0.00019390767579173377
2,H_target_8,target,PrototypeOutcomeTable,0.9633333333333334,0.975,1.6966583966215452,27000,0,5400,3600,3.567901234567901e-05
2,H_target_9,target,AEPCompressor,0.7716666666666666,0.45,1.6966583966215452,73732,52132,0,0,1.0465831208520948e-05
2,H_target_9,target,ResidualCompressor,0.7333333333333333,0.5,1.6966583966215452,56120,34520,0,0,1.3067236873366594e-05
2,H_target_9,target,CounterfactualCompressor,0.3983333333333333,0.415,1.6966583966215452,59820,38220,0,0,6.658865485344924e-06
2,H_target_9,target,PolicyClone,0.335,0.33,1.6966583966215452,38220,38220,0,0,8.765044479330194e-06
2,H_target_9,target,RawMemoryOutcomeTableFull,0.5183333333333333,0.58,1.6966583966215452,26568,0,4968,3312,1.9509685837599117e-05
2,H_target_9,target,StandardizedKNNOutcomeTable,0.5183333333333333,0.58,1.6966583966215452,4968,0,4968,3312,0.00010433440687063875
2,H_target_9,target,PrototypeOutcomeTable,0.485,0.575,1.6966583966215452,27000,0,5400,3600,1.7962962962962962e-05
2,H_target_10,target,AEPCompressor,0.9933333333333333,0.725,1.6966583966215452,73732,52132,0,0,1.3472214687426535e-05
2,H_target_10,target,ResidualCompressor,0.9933333333333333,0.73,1.6966583966215452,56120,34520,0,0,1.7700166310287478e-05
2,H_target_10,target,CounterfactualCompressor,0.255,0.085,1.6966583966215452,59820,38220,0,0,4.262788365095286e-06
2,H_target_10,target,PolicyClone,0.5433333333333333,0.465,1.6966583966215452,38220,38220,0,0,1.4215942787371359e-05
2,H_target_10,target,RawMemoryOutcomeTableFull,0.9966666666666667,1.0,1.6966583966215452,26568,0,4968,3312,3.7513801063936564e-05
2,H_target_10,target,StandardizedKNNOutcomeTable,0.9966666666666667,1.0,1.6966583966215452,4968,0,4968,3312,0.0002006172839506173
2,H_target_10,target,PrototypeOutcomeTable,0.9966666666666667,1.0,1.6966583966215452,27000,0,5400,3600,3.6913580246913584e-05
2,H_piecewise_15,piecewise,AEPCompressor,0.8166666666666667,0.585,1.6966583966215452,73732,52132,0,0,1.1076149659125843e-05
2,H_piecewise_15,piecewise,ResidualCompressor,0.8,0.59,1.6966583966215452,56120,34520,0,0,1.4255167498218105e-05
2,H_piecewise_15,piecewise,CounterfactualCompressor,0.20333333333333334,0.485,1.6966583966215452,59820,38220,0,0,3.3990861473308816e-06
2,H_piecewise_15,piecewise,PolicyClone,0.025,0.095,1.6966583966215452,38220,38220,0,0,6.541077969649399e-07
2,H_piecewise_15,piecewise,RawMemoryOutcomeTableFull,0.48833333333333334,0.5,1.6966583966215452,26568,0,4968,3312,1.8380507879152867e-05
2,H_piecewise_15,piecewise,StandardizedKNNOutcomeTable,0.48833333333333334,0.5,1.6966583966215452,4968,0,4968,3312,9.829575952764359e-05
2,H_piecewise_15,piecewise,PrototypeOutcomeTable,0.48,0.515,1.6966583966215452,27000,0,5400,3600,1.7777777777777777e-05
