step,capital,action,oracle,correct,utility,regret
57,aep,1,1,1,-3.2571449279785156,0.0
58,aep,1,1,1,-5.105923652648926,0.0
59,aep,1,1,1,-6.066882610321045,0.0
60,aep,1,2,0,-2.281838893890381,1.0
61,aep,1,1,1,-5.105923652648926,0.0
62,aep,1,2,0,-2.617987632751465,1.0
63,aep,1,2,0,-2.875657558441162,1.0
64,aep,2,2,1,-6.226901054382324,0.0
65,aep,1,2,0,-2.869255781173706,1.0
66,aep,2,2,1,-6.336452484130859,0.0
67,aep,1,1,1,-4.970658779144287,0.0
68,aep,1,1,1,-6.904509544372559,0.0
69,aep,1,2,0,-3.336913585662842,1.0
70,aep,1,1,1,-6.609445571899414,0.0
71,aep,1,1,1,-5.839378833770752,0.0
72,aep,2,2,1,-3.8600716590881348,0.0
73,aep,1,1,1,-4.912177085876465,0.0
74,aep,1,1,1,-7.122551918029785,0.0
75,aep,1,1,1,-6.107212066650391,0.0
76,aep,1,1,1,-5.206290245056152,0.0
77,aep,1,1,1,-3.984785556793213,0.0
78,aep,1,1,1,-3.7825703620910645,0.0
79,aep,2,2,1,-5.347565650939941,0.0
80,aep,1,1,1,-4.906460762023926,0.0
81,aep,1,1,1,-2.1876635551452637,0.0
82,aep,1,1,1,-6.146119594573975,0.0
83,aep,2,2,1,-6.557780742645264,0.0
84,aep,1,1,1,-7.131816864013672,0.0
85,aep,1,2,0,-2.8613953590393066,1.0
86,aep,1,2,0,-2.860800266265869,1.0
87,aep,1,1,1,-5.014222145080566,0.0
88,aep,1,1,1,-5.918013572692871,0.0
89,aep,2,2,1,-6.557780742645264,0.0
90,aep,1,1,1,-2.1876635551452637,0.0
91,aep,2,1,0,-2.612238883972168,1.0
92,aep,1,1,1,-3.8749680519104004,0.0
93,aep,1,2,0,-3.2523162364959717,1.0
94,aep,1,1,1,-5.9148664474487305,0.0
95,aep,1,1,1,-4.881260871887207,0.0
96,aep,1,2,0,-1.38761305809021,1.0
97,aep,1,1,1,-6.066882610321045,0.0
98,aep,2,2,1,-4.784429550170898,0.0
99,aep,1,1,1,-5.418692588806152,0.0
100,aep,2,2,1,-6.557780742645264,0.0
101,aep,0,0,1,-6.464717388153076,0.0
102,aep,2,1,0,-2.612238883972168,1.0
103,aep,0,0,1,-4.991368293762207,0.0
104,aep,1,1,1,-6.609445571899414,0.0
105,aep,0,0,1,-4.054628372192383,0.0
106,aep,1,1,1,-5.3035197257995605,0.0
