capital_0,capital_1,capital_2,capital_3,step
0.22189617,0.36338654,0.2501811,0.16453618,279
0.21920148,0.37111753,0.24714294,0.16253805,280
0.2185938,0.37140638,0.2473353,0.16266456,281
0.21666498,0.3769529,0.24515288,0.16122925,282
0.21617243,0.3783693,0.24459554,0.16086271,283
0.21935378,0.37683362,0.24360281,0.16020982,284
0.2184821,0.37930995,0.24263479,0.15957318,285
0.21969905,0.38142273,0.23841624,0.160462,286
0.21983832,0.38103065,0.23856737,0.16056372,287
0.22648822,0.37778282,0.23653387,0.15919511,288
0.22583446,0.37810212,0.2367338,0.15932967,289
0.22889118,0.36968458,0.23993804,0.16148622,290
0.23072176,0.37264118,0.23385935,0.16277774,291
0.23173966,0.36987337,0.23489109,0.16349587,292
0.23256317,0.36763415,0.23572579,0.16407686,293
0.23216304,0.3687221,0.23532023,0.16379458,294
0.24191773,0.36403784,0.2323307,0.16171372,295
0.24301687,0.36114842,0.23338628,0.16244845,296
0.24057558,0.36756614,0.23104173,0.16081654,297
0.24118443,0.36727145,0.2308565,0.1606876,298
0.2469002,0.364505,0.22911757,0.15947722,299
0.248211,0.36644018,0.23033397,0.15501489,300
0.2478067,0.3674721,0.2299588,0.1547624,301
0.24316211,0.3697412,0.23137875,0.15571801,302
0.24131222,0.37453598,0.2296185,0.15453337,303
0.2396506,0.371957,0.23492312,0.1534693,304
0.23915061,0.37118098,0.23651935,0.15314911,305
0.23064765,0.37532914,0.2391626,0.15486063,306
0.22974043,0.37385282,0.23822187,0.15818492,307
0.22853334,0.37714267,0.23697023,0.1573538,308
0.22784482,0.3790192,0.23625627,0.15687972,309
0.22857083,0.3770405,0.2370091,0.15737961,310
0.22821315,0.37645048,0.2366382,0.15869822,311
0.22734909,0.37881133,0.23574224,0.15809736,312
0.22714987,0.37847942,0.23641193,0.15795882,313
0.21686986,0.38351372,0.23955655,0.1600599,314
0.21475877,0.37978047,0.23722462,0.16823624,315
0.21625859,0.37905502,0.2367715,0.1679149,316
0.21577232,0.3804512,0.2362391,0.16753733,317
0.21297911,0.38180628,0.23708053,0.16813406,318
0.2101498,0.3831789,0.23793285,0.1687385,319
0.21097542,0.3807555,0.23886763,0.16940144,320
0.21226318,0.3769758,0.24032563,0.17043543,321
0.2107023,0.3742037,0.23855838,0.17653562,322
0.20889968,0.3710023,0.23651746,0.18358059,323
0.20729439,0.36815134,0.24238442,0.18216987,324
0.2068198,0.36959788,0.2418295,0.1817528,325
0.2065716,0.3703545,0.24153927,0.18153468,326
0.20805183,0.36966354,0.24108864,0.18119599,327
0.20920701,0.37171605,0.23687491,0.18220206,328
0.21263473,0.361422,0.24075595,0.18518732,329
0.21560374,0.3525056,0.2441176,0.18777308,330
0.21552333,0.3523741,0.24402657,0.18807602,331
