seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
2,624,train,none,1,"[-2.990661382675171, -1.3333711624145508]","[-3.0558226108551025, -1.3985323905944824]","[-3.5209836959838867, -1.8636934757232666]","[0.06516122817993164, 0.06516122817993164]","[-0.4651610851287842, -0.4651610851287842]",-1,1,"[[-4.0643181800842285, -0.9479063749313354], [-3.6899092197418213, -1.1061164140701294], [-3.647207021713257, -1.7550745010375977], [-3.518611431121826, -2.072040319442749], [-3.6455495357513428, -2.493227958679199], [-2.5519697666168213, -2.5028746128082275], [-2.054450511932373, -2.1817004680633545], [-2.4689314365386963, -2.1590542793273926]]","[0.0, -1.0, 1.0, 0.0, 1.0, -1.0, -1.0, -1.0]"
2,624,train,none,3,"[-1.928410291671753, -0.9122779965400696]","[-2.1676228046417236, -1.1514906883239746]","[-3.4410812854766846, -2.4249489307403564]","[0.2392125129699707, 0.23921269178390503]","[-1.273458480834961, -1.2734582424163818]",-1,1,"[[-4.0643181800842285, -0.9479063749313354], [-3.6899092197418213, -1.1061164140701294], [-3.647207021713257, -1.7550745010375977], [-3.518611431121826, -2.072040319442749], [-3.6455495357513428, -2.493227958679199], [-2.5519697666168213, -2.5028746128082275], [-2.054450511932373, -2.1817004680633545], [-2.4689314365386963, -2.1590542793273926]]","[0.0, -1.0, 1.0, 0.0, 1.0, -1.0, -1.0, -1.0]"
2,624,train,none,5,"[-1.303697943687439, -0.2387845665216446]","[-1.833653450012207, -0.768740177154541]","[-3.8102540969848633, -2.745340585708618]","[0.5299555063247681, 0.5299556255340576]","[-1.9766006469726562, -1.9766004085540771]",-1,1,"[[-4.0643181800842285, -0.9479063749313354], [-3.6899092197418213, -1.1061164140701294], [-3.647207021713257, -1.7550745010375977], [-3.518611431121826, -2.072040319442749], [-3.6455495357513428, -2.493227958679199], [-2.5519697666168213, -2.5028746128082275], [-2.054450511932373, -2.1817004680633545], [-2.4689314365386963, -2.1590542793273926]]","[0.0, -1.0, 1.0, 0.0, 1.0, -1.0, -1.0, -1.0]"
2,2498,train,none,1,"[-4.850765228271484, 1.1226017475128174]","[-4.86939001083374, 1.1039767265319824]","[-5.288014888763428, 0.6853517889976501]","[0.01862478256225586, 0.01862502098083496]","[-0.4186248779296875, -0.4186249375343323]",-1,1,"[[-2.2183918952941895, -2.0598642826080322], [-2.392240047454834, -1.8398326635360718], [-2.8991384506225586, -1.3690286874771118], [-2.696763753890991, -0.028328685089945793], [-2.814356803894043, 0.05952630564570427], [-3.842597484588623, 0.16662736237049103], [-4.100780963897705, 0.5447262525558472], [-4.3779497146606445, 0.47516584396362305]]","[1.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 1.0]"
2,2498,train,none,3,"[-3.7515921592712402, 1.159799337387085]","[-3.8043673038482666, 1.10702383518219]","[-4.964354515075684, -0.05296315997838974]","[0.05277514457702637, 0.05277550220489502]","[-1.159987211227417, -1.159986972808838]",-1,1,"[[-2.2183918952941895, -2.0598642826080322], [-2.392240047454834, -1.8398326635360718], [-2.8991384506225586, -1.3690286874771118], [-2.696763753890991, -0.028328685089945793], [-2.814356803894043, 0.05952630564570427], [-3.842597484588623, 0.16662736237049103], [-4.100780963897705, 0.5447262525558472], [-4.3779497146606445, 0.47516584396362305]]","[1.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 1.0]"
2,2498,train,none,5,"[-3.189361095428467, 1.3910236358642578]","[-3.3108153343200684, 1.2695692777633667]","[-5.136670112609863, -0.5562855005264282]","[0.12145423889160156, 0.12145435810089111]","[-1.825854778289795, -1.825854778289795]",-1,1,"[[-2.2183918952941895, -2.0598642826080322], [-2.392240047454834, -1.8398326635360718], [-2.8991384506225586, -1.3690286874771118], [-2.696763753890991, -0.028328685089945793], [-2.814356803894043, 0.05952630564570427], [-3.842597484588623, 0.16662736237049103], [-4.100780963897705, 0.5447262525558472], [-4.3779497146606445, 0.47516584396362305]]","[1.0, -1.0, 1.0, -1.0, 0.0, 1.0, -1.0, 1.0]"
2,2538,train,none,1,"[-3.0138862133026123, -0.742842972278595]","[-2.4687142372131348, -0.1976708173751831]","[-2.3235418796539307, -0.05249868705868721]","[-0.5451719760894775, -0.5451721549034119]","[0.1451723575592041, 0.1451721340417862]",1,0,"[[-2.150792360305786, -2.4357192516326904], [-2.1259446144104004, -2.922001838684082], [-1.544872760772705, -2.725661039352417], [-1.9177486896514893, -2.105910062789917], [-2.572415590286255, -2.7573206424713135], [-3.4056828022003174, -2.548478126525879], [-1.7969317436218262, -1.9325957298278809], [-1.8509224653244019, -0.8949894905090332]]","[1.0, 0.0, -1.0, -1.0, -1.0, 0.0, 1.0, 1.0]"
2,2538,train,none,3,"[-3.0675508975982666, -1.4975064992904663]","[-1.6377575397491455, -0.06771310418844223]","[-1.166161298751831, 0.40388306975364685]","[-1.429793357849121, -1.429793357849121]","[0.47159624099731445, 0.4715961813926697]",1,0,"[[-2.150792360305786, -2.4357192516326904], [-2.1259446144104004, -2.922001838684082], [-1.544872760772705, -2.725661039352417], [-1.9177486896514893, -2.105910062789917], [-2.572415590286255, -2.7573206424713135], [-3.4056828022003174, -2.548478126525879], [-1.7969317436218262, -1.9325957298278809], [-1.8509224653244019, -0.8949894905090332]]","[1.0, 0.0, -1.0, -1.0, -1.0, 0.0, 1.0, 1.0]"
2,2538,train,none,5,"[-3.531465768814087, -1.9666465520858765]","[-1.355449914932251, 0.20936913788318634]","[-0.4957089424133301, 1.0691101551055908]","[-2.176015853881836, -2.176015615463257]","[0.8597409725189209, 0.8597410321235657]",1,0,"[[-2.150792360305786, -2.4357192516326904], [-2.1259446144104004, -2.922001838684082], [-1.544872760772705, -2.725661039352417], [-1.9177486896514893, -2.105910062789917], [-2.572415590286255, -2.7573206424713135], [-3.4056828022003174, -2.548478126525879], [-1.7969317436218262, -1.9325957298278809], [-1.8509224653244019, -0.8949894905090332]]","[1.0, 0.0, -1.0, -1.0, -1.0, 0.0, 1.0, 1.0]"
2,2363,train,none,1,"[-2.896911144256592, -1.7317382097244263]","[-2.9520416259765625, -1.786868691444397]","[-3.407172203063965, -2.2419991493225098]","[0.0551304817199707, 0.0551304817199707]","[-0.45513057708740234, -0.4551304578781128]",-1,1,"[[-2.6442582607269287, -0.8140333294868469], [-2.840430736541748, -1.1869758367538452], [-2.46806263923645, -1.165905475616455], [-2.6689679622650146, -1.2791036367416382], [-2.180908679962158, -0.31553810834884644], [-2.0860283374786377, -1.7739568948745728], [-2.3177196979522705, -2.122161626815796], [-2.3596882820129395, -2.5678293704986572]]","[0.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0]"
