seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
3,22,train,none,5,"[-1.8373258113861084, -1.890601634979248]","[-2.165201187133789, -2.2184767723083496]","[-4.044347286224365, -4.097622871398926]","[0.32787537574768066, 0.32787513732910156]","[-1.8791460990905762, -1.8791460990905762]",-1,1,"[[-1.0575568675994873, -1.5154300928115845], [-0.899465799331665, -1.4643677473068237], [-1.5826679468154907, -1.8751178979873657], [-2.3410191535949707, -2.3485963344573975], [-2.4501328468322754, -2.267092704772949], [-2.5402865409851074, -2.2551300525665283], [-2.582669496536255, -2.315222978591919], [-2.748033285140991, -2.7107863426208496]]","[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
3,990,train,none,1,"[-3.3320419788360596, -3.614734172821045]","[-3.3235538005828857, -3.606245756149292]","[-3.7150652408599854, -3.9977574348449707]","[-0.008488178253173828, -0.00848841667175293]","[-0.3915114402770996, -0.3915116786956787]",0,1,"[[-3.1763532161712646, -3.337559938430786], [-3.365957021713257, -3.1081581115722656], [-2.99088191986084, -3.0810000896453857], [-3.409484624862671, -3.4448049068450928], [-3.4098782539367676, -3.0773937702178955], [-3.54655122756958, -3.207491874694824], [-3.5989792346954346, -3.7054576873779297], [-3.7170233726501465, -3.7924392223358154]]","[1.0, -1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
3,990,train,none,3,"[-3.0917842388153076, -3.0455892086029053]","[-3.099367141723633, -3.0531718730926514]","[-4.204276084899902, -4.1580810546875]","[0.007582902908325195, 0.007582664489746094]","[-1.1049089431762695, -1.1049091815948486]",-1,1,"[[-3.1763532161712646, -3.337559938430786], [-3.365957021713257, -3.1081581115722656], [-2.99088191986084, -3.0810000896453857], [-3.409484624862671, -3.4448049068450928], [-3.4098782539367676, -3.0773937702178955], [-3.54655122756958, -3.207491874694824], [-3.5989792346954346, -3.7054576873779297], [-3.7170233726501465, -3.7924392223358154]]","[1.0, -1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
3,990,train,none,5,"[-2.8607306480407715, -3.001182794570923]","[-2.914987325668335, -3.0554394721984863]","[-4.640827655792236, -4.781280040740967]","[0.05425667762756348, 0.05425667762756348]","[-1.7258403301239014, -1.7258405685424805]",-1,1,"[[-3.1763532161712646, -3.337559938430786], [-3.365957021713257, -3.1081581115722656], [-2.99088191986084, -3.0810000896453857], [-3.409484624862671, -3.4448049068450928], [-3.4098782539367676, -3.0773937702178955], [-3.54655122756958, -3.207491874694824], [-3.5989792346954346, -3.7054576873779297], [-3.7170233726501465, -3.7924392223358154]]","[1.0, -1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
3,799,train,none,1,"[-1.0839577913284302, -1.2816163301467896]","[-1.2236990928649902, -1.4213576316833496]","[-1.7634403705596924, -1.9610989093780518]","[0.13974130153656006, 0.13974130153656006]","[-0.5397412776947021, -0.5397412776947021]",-1,1,"[[-2.085599184036255, -2.4784739017486572], [-2.2308743000030518, -2.3666422367095947], [-2.092363119125366, -2.0471279621124268], [-2.446307897567749, -2.6225361824035645], [-2.473405122756958, -2.5006651878356934], [-1.982055425643921, -2.352787494659424], [-1.5972858667373657, -1.9232815504074097], [-1.5066500902175903, -1.4925569295883179]]","[-1.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0]"
3,799,train,none,3,"[-0.6758201122283936, -0.552882194519043]","[-1.204248309135437, -1.0813103914260864]","[-2.641336679458618, -2.5183985233306885]","[0.5284281969070435, 0.5284281969070435]","[-1.4370883703231812, -1.437088131904602]",-1,1,"[[-2.085599184036255, -2.4784739017486572], [-2.2308743000030518, -2.3666422367095947], [-2.092363119125366, -2.0471279621124268], [-2.446307897567749, -2.6225361824035645], [-2.473405122756958, -2.5006651878356934], [-1.982055425643921, -2.352787494659424], [-1.5972858667373657, -1.9232815504074097], [-1.5066500902175903, -1.4925569295883179]]","[-1.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0]"
3,799,train,none,5,"[-0.08977511525154114, -0.16096684336662292]","[-1.2046425342559814, -1.275834321975708]","[-3.3544769287109375, -3.425668478012085]","[1.1148674488067627, 1.1148674488067627]","[-2.149834394454956, -2.149834156036377]",-1,1,"[[-2.085599184036255, -2.4784739017486572], [-2.2308743000030518, -2.3666422367095947], [-2.092363119125366, -2.0471279621124268], [-2.446307897567749, -2.6225361824035645], [-2.473405122756958, -2.5006651878356934], [-1.982055425643921, -2.352787494659424], [-1.5972858667373657, -1.9232815504074097], [-1.5066500902175903, -1.4925569295883179]]","[-1.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0]"
3,511,train,none,1,"[-1.8226721286773682, -3.453195333480835]","[-1.3711856603622437, -3.001708745956421]","[-1.3196991682052612, -2.9502222537994385]","[-0.4514864683151245, -0.45148658752441406]","[0.05148649215698242, 0.05148649215698242]",1,0,"[[-2.3070316314697266, -3.3406221866607666], [-2.166539430618286, -3.1980085372924805], [-2.0842723846435547, -3.2440736293792725], [-2.0760393142700195, -3.414170026779175], [-2.476503372192383, -3.512500047683716], [-2.124391555786133, -3.4066896438598633], [-2.0435500144958496, -3.2073371410369873], [-1.6618990898132324, -3.1560845375061035]]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0]"
3,511,train,none,3,"[-2.5873119831085205, -3.7575342655181885]","[-1.3373548984527588, -2.5075771808624268]","[-1.1359035968780518, -2.3061258792877197]","[-1.2499570846557617, -1.2499570846557617]","[0.20145130157470703, 0.20145130157470703]",1,0,"[[-2.3070316314697266, -3.3406221866607666], [-2.166539430618286, -3.1980085372924805], [-2.0842723846435547, -3.2440736293792725], [-2.0760393142700195, -3.414170026779175], [-2.476503372192383, -3.512500047683716], [-2.124391555786133, -3.4066896438598633], [-2.0435500144958496, -3.2073371410369873], [-1.6618990898132324, -3.1560845375061035]]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0]"
3,511,train,none,5,"[-3.2458763122558594, -4.484145164489746]","[-1.3247712850570679, -2.563040018081665]","[-0.9238682985305786, -2.162137269973755]","[-1.9211050271987915, -1.921105146408081]","[0.40090298652648926, 0.40090274810791016]",1,0,"[[-2.3070316314697266, -3.3406221866607666], [-2.166539430618286, -3.1980085372924805], [-2.0842723846435547, -3.2440736293792725], [-2.0760393142700195, -3.414170026779175], [-2.476503372192383, -3.512500047683716], [-2.124391555786133, -3.4066896438598633], [-2.0435500144958496, -3.2073371410369873], [-1.6618990898132324, -3.1560845375061035]]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 1.0, 1.0]"
