capital_id,capital_type,field_index,field_name,provided,default_value,status,dimension
SafeFallback,SafeFallbackCapital,11,update_cost,computed,N/A,OK,capital_4_field_11
SafeFallback,SafeFallbackCapital,12,storage_cost,computed,N/A,OK,capital_4_field_12
SafeFallback,SafeFallbackCapital,13,probe_cost,computed,N/A,OK,capital_4_field_13
SafeFallback,SafeFallbackCapital,14,goal_shift_score,computed,N/A,OK,capital_4_field_14
SafeFallback,SafeFallbackCapital,15,transfer_success_rate,computed,N/A,OK,capital_4_field_15
SafeFallback,SafeFallbackCapital,16,recent_transfer_regret,computed,N/A,OK,capital_4_field_16
SafeFallback,SafeFallbackCapital,17,expected_probe_value,computed,N/A,OK,capital_4_field_17
SafeFallback,SafeFallbackCapital,18,uncertainty_reduction_if_probe,computed,N/A,OK,capital_4_field_18
SafeFallback,SafeFallbackCapital,19,capital_age,computed,N/A,OK,capital_4_field_19
SafeFallback,SafeFallbackCapital,20,depreciation_score,computed,N/A,OK,capital_4_field_20
SafeFallback,SafeFallbackCapital,21,bad_debt_score,computed,N/A,OK,capital_4_field_21
SafeFallback,SafeFallbackCapital,22,impairment_flag,computed,N/A,OK,capital_4_field_22
