n_train,mechanism,utility,utility_type,utility_complexity,match
1000,RawMemoryOutcomeTableFull,H_target_9,target,2,0.535
1000,PrototypeOutcomeTable,H_target_9,target,2,0.54
1000,AEPCompressor,H_target_10,target,2,0.985
1000,ResidualCompressor,H_target_10,target,2,0.995
1000,RawMemoryOutcomeTableFull,H_target_10,target,2,0.995
1000,PrototypeOutcomeTable,H_target_10,target,2,0.995
1000,AEPCompressor,H_piecewise_15,piecewise,4,0.76
1000,ResidualCompressor,H_piecewise_15,piecewise,4,0.73
1000,RawMemoryOutcomeTableFull,H_piecewise_15,piecewise,4,0.505
1000,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.52
1000,AEPCompressor,H_piecewise_18,piecewise,4,0.76
1000,ResidualCompressor,H_piecewise_18,piecewise,4,0.73
1000,RawMemoryOutcomeTableFull,H_piecewise_18,piecewise,4,0.505
1000,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.52
1000,AEPCompressor,H_multiobj_24,multiobj,7,1.0
1000,ResidualCompressor,H_multiobj_24,multiobj,7,1.0
1000,RawMemoryOutcomeTableFull,H_multiobj_24,multiobj,7,1.0
1000,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0
1000,Reference_PCHeldout,mean,ref,0,0.261
3000,AEPCompressor,H_linear_0,linear,1,0.995
3000,ResidualCompressor,H_linear_0,linear,1,1.0
3000,RawMemoryOutcomeTableFull,H_linear_0,linear,1,0.995
3000,PrototypeOutcomeTable,H_linear_0,linear,1,0.995
3000,AEPCompressor,H_linear_1,linear,1,1.0
3000,ResidualCompressor,H_linear_1,linear,1,1.0
3000,RawMemoryOutcomeTableFull,H_linear_1,linear,1,1.0
3000,PrototypeOutcomeTable,H_linear_1,linear,1,1.0
3000,AEPCompressor,H_linear_2,linear,1,1.0
3000,ResidualCompressor,H_linear_2,linear,1,1.0
3000,RawMemoryOutcomeTableFull,H_linear_2,linear,1,1.0
3000,PrototypeOutcomeTable,H_linear_2,linear,1,1.0
3000,AEPCompressor,H_linear_3,linear,1,1.0
3000,ResidualCompressor,H_linear_3,linear,1,1.0
3000,RawMemoryOutcomeTableFull,H_linear_3,linear,1,1.0
3000,PrototypeOutcomeTable,H_linear_3,linear,1,1.0
3000,AEPCompressor,H_linear_4,linear,1,1.0
3000,ResidualCompressor,H_linear_4,linear,1,1.0
3000,RawMemoryOutcomeTableFull,H_linear_4,linear,1,1.0
3000,PrototypeOutcomeTable,H_linear_4,linear,1,1.0
3000,AEPCompressor,H_linear_5,linear,1,0.995
3000,ResidualCompressor,H_linear_5,linear,1,0.995
3000,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.985
3000,PrototypeOutcomeTable,H_linear_5,linear,1,0.985
3000,AEPCompressor,H_target_6,target,2,0.99
3000,ResidualCompressor,H_target_6,target,2,0.995
3000,RawMemoryOutcomeTableFull,H_target_6,target,2,0.995
3000,PrototypeOutcomeTable,H_target_6,target,2,0.995
3000,AEPCompressor,H_target_7,target,2,1.0
3000,ResidualCompressor,H_target_7,target,2,1.0
3000,RawMemoryOutcomeTableFull,H_target_7,target,2,1.0
3000,PrototypeOutcomeTable,H_target_7,target,2,1.0
3000,AEPCompressor,H_target_8,target,2,0.995
3000,ResidualCompressor,H_target_8,target,2,1.0
3000,RawMemoryOutcomeTableFull,H_target_8,target,2,0.995
3000,PrototypeOutcomeTable,H_target_8,target,2,0.995
3000,AEPCompressor,H_target_9,target,2,0.775
3000,ResidualCompressor,H_target_9,target,2,0.765
3000,RawMemoryOutcomeTableFull,H_target_9,target,2,0.61
3000,PrototypeOutcomeTable,H_target_9,target,2,0.525
3000,AEPCompressor,H_target_10,target,2,0.98
3000,ResidualCompressor,H_target_10,target,2,0.995
3000,RawMemoryOutcomeTableFull,H_target_10,target,2,0.995
3000,PrototypeOutcomeTable,H_target_10,target,2,0.995
3000,AEPCompressor,H_piecewise_15,piecewise,4,0.77
3000,ResidualCompressor,H_piecewise_15,piecewise,4,0.75
3000,RawMemoryOutcomeTableFull,H_piecewise_15,piecewise,4,0.6
3000,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.565
3000,AEPCompressor,H_piecewise_18,piecewise,4,0.77
3000,ResidualCompressor,H_piecewise_18,piecewise,4,0.75
3000,RawMemoryOutcomeTableFull,H_piecewise_18,piecewise,4,0.6
3000,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.565
3000,AEPCompressor,H_multiobj_24,multiobj,7,1.0
3000,ResidualCompressor,H_multiobj_24,multiobj,7,1.0
3000,RawMemoryOutcomeTableFull,H_multiobj_24,multiobj,7,1.0
3000,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0
3000,Reference_PCHeldout,mean,ref,0,0.261
