seed,utility,utility_type,utility_complexity,mechanism,match
0,H_target_9,target,2,StandardizedKNNOutcomeTable,0.61
0,H_target_9,target,2,PrototypeOutcomeTable,0.525
0,H_target_10,target,2,AEPCompressor,0.995
0,H_target_10,target,2,ResidualCompressor,0.985
0,H_target_10,target,2,CounterfactualCompressor,0.42
0,H_target_10,target,2,RawMemoryOutcomeTableFull,0.995
0,H_target_10,target,2,StandardizedKNNOutcomeTable,0.995
0,H_target_10,target,2,PrototypeOutcomeTable,0.995
0,H_piecewise_15,piecewise,4,AEPCompressor,0.79
0,H_piecewise_15,piecewise,4,ResidualCompressor,0.76
0,H_piecewise_15,piecewise,4,CounterfactualCompressor,0.24
0,H_piecewise_15,piecewise,4,RawMemoryOutcomeTableFull,0.6
0,H_piecewise_15,piecewise,4,StandardizedKNNOutcomeTable,0.6
0,H_piecewise_15,piecewise,4,PrototypeOutcomeTable,0.565
0,H_piecewise_18,piecewise,4,AEPCompressor,0.79
0,H_piecewise_18,piecewise,4,ResidualCompressor,0.76
0,H_piecewise_18,piecewise,4,CounterfactualCompressor,0.345
0,H_piecewise_18,piecewise,4,RawMemoryOutcomeTableFull,0.6
0,H_piecewise_18,piecewise,4,StandardizedKNNOutcomeTable,0.6
0,H_piecewise_18,piecewise,4,PrototypeOutcomeTable,0.565
0,H_multiobj_24,multiobj,7,AEPCompressor,1.0
0,H_multiobj_24,multiobj,7,ResidualCompressor,1.0
0,H_multiobj_24,multiobj,7,CounterfactualCompressor,1.0
0,H_multiobj_24,multiobj,7,RawMemoryOutcomeTableFull,1.0
0,H_multiobj_24,multiobj,7,StandardizedKNNOutcomeTable,1.0
0,H_multiobj_24,multiobj,7,PrototypeOutcomeTable,1.0
1,H_linear_0,linear,1,AEPCompressor,0.99
1,H_linear_0,linear,1,ResidualCompressor,0.995
1,H_linear_0,linear,1,CounterfactualCompressor,0.165
1,H_linear_0,linear,1,RawMemoryOutcomeTableFull,0.98
1,H_linear_0,linear,1,StandardizedKNNOutcomeTable,0.98
1,H_linear_0,linear,1,PrototypeOutcomeTable,0.98
1,H_linear_1,linear,1,AEPCompressor,0.985
1,H_linear_1,linear,1,ResidualCompressor,0.985
1,H_linear_1,linear,1,CounterfactualCompressor,0.385
1,H_linear_1,linear,1,RawMemoryOutcomeTableFull,0.985
1,H_linear_1,linear,1,StandardizedKNNOutcomeTable,0.985
1,H_linear_1,linear,1,PrototypeOutcomeTable,0.985
1,H_linear_2,linear,1,AEPCompressor,0.985
1,H_linear_2,linear,1,ResidualCompressor,0.985
1,H_linear_2,linear,1,CounterfactualCompressor,0.255
1,H_linear_2,linear,1,RawMemoryOutcomeTableFull,0.985
1,H_linear_2,linear,1,StandardizedKNNOutcomeTable,0.985
1,H_linear_2,linear,1,PrototypeOutcomeTable,0.985
1,H_linear_3,linear,1,AEPCompressor,0.99
1,H_linear_3,linear,1,ResidualCompressor,0.99
1,H_linear_3,linear,1,CounterfactualCompressor,0.345
1,H_linear_3,linear,1,RawMemoryOutcomeTableFull,0.98
1,H_linear_3,linear,1,StandardizedKNNOutcomeTable,0.98
1,H_linear_3,linear,1,PrototypeOutcomeTable,0.98
1,H_linear_4,linear,1,AEPCompressor,0.995
1,H_linear_4,linear,1,ResidualCompressor,0.985
1,H_linear_4,linear,1,CounterfactualCompressor,0.37
1,H_linear_4,linear,1,RawMemoryOutcomeTableFull,0.985
1,H_linear_4,linear,1,StandardizedKNNOutcomeTable,0.985
1,H_linear_4,linear,1,PrototypeOutcomeTable,0.985
1,H_linear_5,linear,1,AEPCompressor,0.98
1,H_linear_5,linear,1,ResidualCompressor,0.985
1,H_linear_5,linear,1,CounterfactualCompressor,0.31
1,H_linear_5,linear,1,RawMemoryOutcomeTableFull,0.97
1,H_linear_5,linear,1,StandardizedKNNOutcomeTable,0.97
1,H_linear_5,linear,1,PrototypeOutcomeTable,0.97
1,H_target_6,target,2,AEPCompressor,0.995
1,H_target_6,target,2,ResidualCompressor,0.99
1,H_target_6,target,2,CounterfactualCompressor,0.37
1,H_target_6,target,2,RawMemoryOutcomeTableFull,0.99
1,H_target_6,target,2,StandardizedKNNOutcomeTable,0.99
1,H_target_6,target,2,PrototypeOutcomeTable,0.99
1,H_target_7,target,2,AEPCompressor,0.99
1,H_target_7,target,2,ResidualCompressor,0.985
1,H_target_7,target,2,CounterfactualCompressor,0.435
1,H_target_7,target,2,RawMemoryOutcomeTableFull,0.98
1,H_target_7,target,2,StandardizedKNNOutcomeTable,0.98
1,H_target_7,target,2,PrototypeOutcomeTable,0.98
1,H_target_8,target,2,AEPCompressor,0.995
1,H_target_8,target,2,ResidualCompressor,0.995
1,H_target_8,target,2,CounterfactualCompressor,0.685
1,H_target_8,target,2,RawMemoryOutcomeTableFull,0.98
1,H_target_8,target,2,StandardizedKNNOutcomeTable,0.98
1,H_target_8,target,2,PrototypeOutcomeTable,0.98
1,H_target_9,target,2,AEPCompressor,0.79
1,H_target_9,target,2,ResidualCompressor,0.835
1,H_target_9,target,2,CounterfactualCompressor,0.31
1,H_target_9,target,2,RawMemoryOutcomeTableFull,0.465
1,H_target_9,target,2,StandardizedKNNOutcomeTable,0.465
1,H_target_9,target,2,PrototypeOutcomeTable,0.59
1,H_target_10,target,2,AEPCompressor,0.99
1,H_target_10,target,2,ResidualCompressor,0.97
1,H_target_10,target,2,CounterfactualCompressor,0.415
1,H_target_10,target,2,RawMemoryOutcomeTableFull,0.985
1,H_target_10,target,2,StandardizedKNNOutcomeTable,0.985
1,H_target_10,target,2,PrototypeOutcomeTable,0.985
1,H_piecewise_15,piecewise,4,AEPCompressor,0.81
1,H_piecewise_15,piecewise,4,ResidualCompressor,0.83
1,H_piecewise_15,piecewise,4,CounterfactualCompressor,0.29
1,H_piecewise_15,piecewise,4,RawMemoryOutcomeTableFull,0.475
1,H_piecewise_15,piecewise,4,StandardizedKNNOutcomeTable,0.475
1,H_piecewise_15,piecewise,4,PrototypeOutcomeTable,0.555
1,H_piecewise_18,piecewise,4,AEPCompressor,0.805
1,H_piecewise_18,piecewise,4,ResidualCompressor,0.84
1,H_piecewise_18,piecewise,4,CounterfactualCompressor,0.42
1,H_piecewise_18,piecewise,4,RawMemoryOutcomeTableFull,0.465
1,H_piecewise_18,piecewise,4,StandardizedKNNOutcomeTable,0.465
1,H_piecewise_18,piecewise,4,PrototypeOutcomeTable,0.565
1,H_multiobj_24,multiobj,7,AEPCompressor,1.0
1,H_multiobj_24,multiobj,7,ResidualCompressor,1.0
1,H_multiobj_24,multiobj,7,CounterfactualCompressor,1.0
1,H_multiobj_24,multiobj,7,RawMemoryOutcomeTableFull,1.0
1,H_multiobj_24,multiobj,7,StandardizedKNNOutcomeTable,1.0
1,H_multiobj_24,multiobj,7,PrototypeOutcomeTable,1.0
2,H_linear_0,linear,1,AEPCompressor,0.995
2,H_linear_0,linear,1,ResidualCompressor,0.995
2,H_linear_0,linear,1,CounterfactualCompressor,0.135
2,H_linear_0,linear,1,RawMemoryOutcomeTableFull,0.99
2,H_linear_0,linear,1,StandardizedKNNOutcomeTable,0.99
2,H_linear_0,linear,1,PrototypeOutcomeTable,0.99
2,H_linear_1,linear,1,AEPCompressor,1.0
2,H_linear_1,linear,1,ResidualCompressor,1.0
2,H_linear_1,linear,1,CounterfactualCompressor,0.42
2,H_linear_1,linear,1,RawMemoryOutcomeTableFull,0.995
2,H_linear_1,linear,1,StandardizedKNNOutcomeTable,0.995
2,H_linear_1,linear,1,PrototypeOutcomeTable,0.995
2,H_linear_2,linear,1,AEPCompressor,1.0
2,H_linear_2,linear,1,ResidualCompressor,1.0
2,H_linear_2,linear,1,CounterfactualCompressor,0.295
2,H_linear_2,linear,1,RawMemoryOutcomeTableFull,0.995
2,H_linear_2,linear,1,StandardizedKNNOutcomeTable,0.995
2,H_linear_2,linear,1,PrototypeOutcomeTable,0.995
2,H_linear_3,linear,1,AEPCompressor,0.995
2,H_linear_3,linear,1,ResidualCompressor,0.99
2,H_linear_3,linear,1,CounterfactualCompressor,0.48
2,H_linear_3,linear,1,RawMemoryOutcomeTableFull,0.99
2,H_linear_3,linear,1,StandardizedKNNOutcomeTable,0.99
2,H_linear_3,linear,1,PrototypeOutcomeTable,0.99
2,H_linear_4,linear,1,AEPCompressor,1.0
2,H_linear_4,linear,1,ResidualCompressor,1.0
2,H_linear_4,linear,1,CounterfactualCompressor,0.315
2,H_linear_4,linear,1,RawMemoryOutcomeTableFull,0.995
2,H_linear_4,linear,1,StandardizedKNNOutcomeTable,0.995
2,H_linear_4,linear,1,PrototypeOutcomeTable,0.995
2,H_linear_5,linear,1,AEPCompressor,0.985
2,H_linear_5,linear,1,ResidualCompressor,0.99
2,H_linear_5,linear,1,CounterfactualCompressor,0.445
2,H_linear_5,linear,1,RawMemoryOutcomeTableFull,0.96
2,H_linear_5,linear,1,StandardizedKNNOutcomeTable,0.96
2,H_linear_5,linear,1,PrototypeOutcomeTable,0.96
2,H_target_6,target,2,AEPCompressor,0.99
2,H_target_6,target,2,ResidualCompressor,0.99
2,H_target_6,target,2,CounterfactualCompressor,0.345
2,H_target_6,target,2,RawMemoryOutcomeTableFull,0.99
2,H_target_6,target,2,StandardizedKNNOutcomeTable,0.99
2,H_target_6,target,2,PrototypeOutcomeTable,0.99
2,H_target_7,target,2,AEPCompressor,0.995
2,H_target_7,target,2,ResidualCompressor,0.99
2,H_target_7,target,2,CounterfactualCompressor,0.445
2,H_target_7,target,2,RawMemoryOutcomeTableFull,0.99
2,H_target_7,target,2,StandardizedKNNOutcomeTable,0.99
2,H_target_7,target,2,PrototypeOutcomeTable,0.99
2,H_target_8,target,2,AEPCompressor,0.995
2,H_target_8,target,2,ResidualCompressor,0.99
2,H_target_8,target,2,CounterfactualCompressor,0.61
2,H_target_8,target,2,RawMemoryOutcomeTableFull,0.99
2,H_target_8,target,2,StandardizedKNNOutcomeTable,0.99
2,H_target_8,target,2,PrototypeOutcomeTable,0.99
2,H_target_9,target,2,AEPCompressor,0.83
2,H_target_9,target,2,ResidualCompressor,0.83
2,H_target_9,target,2,CounterfactualCompressor,0.33
2,H_target_9,target,2,RawMemoryOutcomeTableFull,0.555
2,H_target_9,target,2,StandardizedKNNOutcomeTable,0.555
2,H_target_9,target,2,PrototypeOutcomeTable,0.565
2,H_target_10,target,2,AEPCompressor,0.985
2,H_target_10,target,2,ResidualCompressor,0.98
2,H_target_10,target,2,CounterfactualCompressor,0.485
2,H_target_10,target,2,RawMemoryOutcomeTableFull,0.98
2,H_target_10,target,2,StandardizedKNNOutcomeTable,0.98
2,H_target_10,target,2,PrototypeOutcomeTable,0.98
2,H_piecewise_15,piecewise,4,AEPCompressor,0.825
2,H_piecewise_15,piecewise,4,ResidualCompressor,0.83
2,H_piecewise_15,piecewise,4,CounterfactualCompressor,0.265
2,H_piecewise_15,piecewise,4,RawMemoryOutcomeTableFull,0.59
2,H_piecewise_15,piecewise,4,StandardizedKNNOutcomeTable,0.59
2,H_piecewise_15,piecewise,4,PrototypeOutcomeTable,0.6
2,H_piecewise_18,piecewise,4,AEPCompressor,0.83
2,H_piecewise_18,piecewise,4,ResidualCompressor,0.835
2,H_piecewise_18,piecewise,4,CounterfactualCompressor,0.345
2,H_piecewise_18,piecewise,4,RawMemoryOutcomeTableFull,0.595
2,H_piecewise_18,piecewise,4,StandardizedKNNOutcomeTable,0.595
2,H_piecewise_18,piecewise,4,PrototypeOutcomeTable,0.605
2,H_multiobj_24,multiobj,7,AEPCompressor,1.0
2,H_multiobj_24,multiobj,7,ResidualCompressor,1.0
2,H_multiobj_24,multiobj,7,CounterfactualCompressor,1.0
2,H_multiobj_24,multiobj,7,RawMemoryOutcomeTableFull,1.0
2,H_multiobj_24,multiobj,7,StandardizedKNNOutcomeTable,1.0
2,H_multiobj_24,multiobj,7,PrototypeOutcomeTable,1.0
