budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
memory,5000.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,4968
memory,5000.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,4968
memory,5000.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,4968
memory,5000.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,4968
memory,5000.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,4968
memory,5000.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,4968
memory,5000.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,4968
memory,5000.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,4968
memory,5000.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,4968
memory,5000.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.61,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.61,4968
memory,5000.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,4968
memory,5000.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.6,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.6,4968
memory,5000.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.6,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.6,4968
memory,5000.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,4968
memory,5000.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,4968
memory,inf,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,119988
memory,inf,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,119988
memory,inf,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,119988
memory,inf,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,119988
memory,inf,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,119988
memory,inf,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,119988
memory,inf,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,119988
memory,inf,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,119988
memory,inf,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,119988
memory,inf,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,119988
memory,inf,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,119988
memory,inf,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,119988
memory,inf,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,119988
memory,inf,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,119988
memory,inf,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,119988
memory,inf,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,119988
memory,inf,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,119988
memory,inf,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,119988
memory,inf,,RawMemoryOutcomeTable,H_target_9,target,2,0.63,119988
memory,inf,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.63,119988
memory,inf,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,119988
memory,inf,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,119988
memory,inf,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.63,119988
memory,inf,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.63,119988
