budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
neural,52132.0,,AEPCompressor,H_linear_5,linear,1,0.99,52132
neural,34520.0,,ResidualCompressor,H_linear_5,linear,1,0.995,34520
neural,52132.0,,AEPCompressor,H_target_6,target,2,0.99,52132
neural,34520.0,,ResidualCompressor,H_target_6,target,2,0.995,34520
neural,52132.0,,AEPCompressor,H_target_7,target,2,1.0,52132
neural,34520.0,,ResidualCompressor,H_target_7,target,2,1.0,34520
neural,52132.0,,AEPCompressor,H_target_8,target,2,0.995,52132
neural,34520.0,,ResidualCompressor,H_target_8,target,2,1.0,34520
neural,52132.0,,AEPCompressor,H_target_9,target,2,0.78,52132
neural,34520.0,,ResidualCompressor,H_target_9,target,2,0.795,34520
neural,52132.0,,AEPCompressor,H_target_10,target,2,0.995,52132
neural,34520.0,,ResidualCompressor,H_target_10,target,2,0.995,34520
neural,52132.0,,AEPCompressor,H_piecewise_15,piecewise,4,0.785,52132
neural,34520.0,,ResidualCompressor,H_piecewise_15,piecewise,4,0.78,34520
neural,52132.0,,AEPCompressor,H_piecewise_18,piecewise,4,0.785,52132
neural,34520.0,,ResidualCompressor,H_piecewise_18,piecewise,4,0.78,34520
neural,52132.0,,AEPCompressor,H_multiobj_24,multiobj,7,1.0,52132
neural,34520.0,,ResidualCompressor,H_multiobj_24,multiobj,7,1.0,34520
