ood_type,ood_scale,mechanism,utility,utility_type,utility_complexity,match
far_OOD,3.0,ResidualCompressor,H_linear_2,linear,1,0.8125
far_OOD,3.0,RawMemoryOutcomeTableFull,H_linear_2,linear,1,0.995
far_OOD,3.0,PrototypeOutcomeTable,H_linear_2,linear,1,0.995
far_OOD,3.0,AEPCompressor,H_linear_3,linear,1,0.655
far_OOD,3.0,ResidualCompressor,H_linear_3,linear,1,0.755
far_OOD,3.0,RawMemoryOutcomeTableFull,H_linear_3,linear,1,0.985
far_OOD,3.0,PrototypeOutcomeTable,H_linear_3,linear,1,0.985
far_OOD,3.0,AEPCompressor,H_linear_4,linear,1,0.655
far_OOD,3.0,ResidualCompressor,H_linear_4,linear,1,0.715
far_OOD,3.0,RawMemoryOutcomeTableFull,H_linear_4,linear,1,0.99
far_OOD,3.0,PrototypeOutcomeTable,H_linear_4,linear,1,0.99
far_OOD,3.0,AEPCompressor,H_linear_5,linear,1,0.54
far_OOD,3.0,ResidualCompressor,H_linear_5,linear,1,0.615
far_OOD,3.0,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.9625
far_OOD,3.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.9625
far_OOD,3.0,AEPCompressor,H_target_6,target,2,0.61
far_OOD,3.0,ResidualCompressor,H_target_6,target,2,0.5375
far_OOD,3.0,RawMemoryOutcomeTableFull,H_target_6,target,2,1.0
far_OOD,3.0,PrototypeOutcomeTable,H_target_6,target,2,1.0
far_OOD,3.0,AEPCompressor,H_target_7,target,2,0.5575
far_OOD,3.0,ResidualCompressor,H_target_7,target,2,0.8175
far_OOD,3.0,RawMemoryOutcomeTableFull,H_target_7,target,2,0.9975
far_OOD,3.0,PrototypeOutcomeTable,H_target_7,target,2,0.9975
far_OOD,3.0,AEPCompressor,H_target_8,target,2,0.51
far_OOD,3.0,ResidualCompressor,H_target_8,target,2,0.5825
far_OOD,3.0,RawMemoryOutcomeTableFull,H_target_8,target,2,0.9675
far_OOD,3.0,PrototypeOutcomeTable,H_target_8,target,2,0.9675
far_OOD,3.0,AEPCompressor,H_target_9,target,2,0.425
far_OOD,3.0,ResidualCompressor,H_target_9,target,2,0.4175
far_OOD,3.0,RawMemoryOutcomeTableFull,H_target_9,target,2,0.3925
far_OOD,3.0,PrototypeOutcomeTable,H_target_9,target,2,0.4
far_OOD,3.0,AEPCompressor,H_target_10,target,2,0.5925
far_OOD,3.0,ResidualCompressor,H_target_10,target,2,0.4775
far_OOD,3.0,RawMemoryOutcomeTableFull,H_target_10,target,2,0.995
far_OOD,3.0,PrototypeOutcomeTable,H_target_10,target,2,0.995
far_OOD,3.0,AEPCompressor,H_piecewise_15,piecewise,4,0.5
far_OOD,3.0,ResidualCompressor,H_piecewise_15,piecewise,4,0.5675
far_OOD,3.0,RawMemoryOutcomeTableFull,H_piecewise_15,piecewise,4,0.54
far_OOD,3.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.4575
far_OOD,3.0,AEPCompressor,H_piecewise_18,piecewise,4,0.4825
far_OOD,3.0,ResidualCompressor,H_piecewise_18,piecewise,4,0.55
far_OOD,3.0,RawMemoryOutcomeTableFull,H_piecewise_18,piecewise,4,0.5375
far_OOD,3.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.46
far_OOD,3.0,AEPCompressor,H_multiobj_24,multiobj,7,1.0
far_OOD,3.0,ResidualCompressor,H_multiobj_24,multiobj,7,1.0
far_OOD,3.0,RawMemoryOutcomeTableFull,H_multiobj_24,multiobj,7,1.0
far_OOD,3.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0
