regime,mechanism,total_capital_cost,heldout_match,on_absolute_pareto_frontier
action_effect_action_velocity_interaction,RawMemoryOutcomeTableFull,19368.0,0.8698333333333333,True
action_effect_action_velocity_interaction,PrototypeOutcomeTable,19800.0,0.8651666666666666,False
action_effect_piecewise_action_map,AEPCompressor,66532.0,0.8848333333333335,False
action_effect_piecewise_action_map,ResidualCompressor,48920.0,0.8976666666666666,True
action_effect_piecewise_action_map,RawMemoryOutcomeTableFull,19368.0,0.7888333333333333,True
action_effect_piecewise_action_map,PrototypeOutcomeTable,19800.0,0.7918333333333334,True
action_effect_compositional_action_factors,AEPCompressor,66532.0,0.8849999999999999,True
action_effect_compositional_action_factors,ResidualCompressor,48920.0,0.8836666666666667,True
action_effect_compositional_action_factors,RawMemoryOutcomeTableFull,19368.0,0.8193333333333334,True
action_effect_compositional_action_factors,PrototypeOutcomeTable,19800.0,0.817,False
utility_simple_linear,AEPCompressor,62932.0,0.995,False
utility_simple_linear,ResidualCompressor,45320.0,1.0,True
utility_simple_linear,MultiGoalPolicyClone,38220.0,0.035,False
utility_simple_linear,RawMemoryOutcomeTableFull,15768.0,0.995,True
utility_simple_linear,PrototypeOutcomeTable,16200.0,0.995,False
utility_target,AEPCompressor,62932.0,0.995,False
utility_target,ResidualCompressor,45320.0,1.0,True
utility_target,MultiGoalPolicyClone,38220.0,0.06,False
utility_target,RawMemoryOutcomeTableFull,15768.0,0.995,True
utility_target,PrototypeOutcomeTable,16200.0,0.995,False
utility_energy_aware,AEPCompressor,62932.0,1.0,False
utility_energy_aware,ResidualCompressor,45320.0,1.0,False
utility_energy_aware,MultiGoalPolicyClone,38220.0,1.0,False
utility_energy_aware,RawMemoryOutcomeTableFull,15768.0,1.0,True
utility_energy_aware,PrototypeOutcomeTable,16200.0,1.0,False
utility_risk_threshold,AEPCompressor,62932.0,0.595,False
utility_risk_threshold,ResidualCompressor,45320.0,0.555,False
utility_risk_threshold,MultiGoalPolicyClone,38220.0,0.72,True
utility_risk_threshold,RawMemoryOutcomeTableFull,15768.0,0.155,True
utility_risk_threshold,PrototypeOutcomeTable,16200.0,0.095,False
utility_piecewise_regional,AEPCompressor,62932.0,0.795,True
utility_piecewise_regional,ResidualCompressor,45320.0,0.79,True
utility_piecewise_regional,MultiGoalPolicyClone,38220.0,0.07,False
utility_piecewise_regional,RawMemoryOutcomeTableFull,15768.0,0.6,True
utility_piecewise_regional,PrototypeOutcomeTable,16200.0,0.565,False
utility_nonlinear_interaction,AEPCompressor,62932.0,0.595,False
utility_nonlinear_interaction,ResidualCompressor,45320.0,0.555,False
utility_nonlinear_interaction,MultiGoalPolicyClone,38220.0,0.72,True
utility_nonlinear_interaction,RawMemoryOutcomeTableFull,15768.0,0.155,True
utility_nonlinear_interaction,PrototypeOutcomeTable,16200.0,0.095,False
utility_compositional_multiobj,AEPCompressor,62932.0,1.0,False
utility_compositional_multiobj,ResidualCompressor,45320.0,1.0,False
utility_compositional_multiobj,MultiGoalPolicyClone,38220.0,1.0,False
utility_compositional_multiobj,RawMemoryOutcomeTableFull,15768.0,1.0,True
utility_compositional_multiobj,PrototypeOutcomeTable,16200.0,1.0,False
utility_adversarial,AEPCompressor,62932.0,0.99,False
utility_adversarial,ResidualCompressor,45320.0,0.99,False
utility_adversarial,MultiGoalPolicyClone,38220.0,0.155,False
utility_adversarial,RawMemoryOutcomeTableFull,15768.0,0.99,True
utility_adversarial,PrototypeOutcomeTable,16200.0,0.99,False
