regime,mechanism,total_capital_cost,match_per_byte,on_efficiency_pareto_frontier
coverage_dense,PrototypeOutcomeTable,30600.0,2.8784847272242235e-05,False
coverage_medium,AEPCompressor,62932.0,1.4819472567518076e-05,False
coverage_medium,ResidualCompressor,45320.0,2.0568024208800912e-05,False
coverage_medium,RawMemoryOutcomeTableFull,15768.0,5.544683626875408e-05,True
coverage_medium,PrototypeOutcomeTable,16200.0,5.4467960023515584e-05,False
coverage_sparse,AEPCompressor,57892.0,1.5777531561232244e-05,False
coverage_sparse,ResidualCompressor,40280.0,2.2919917718825363e-05,False
coverage_sparse,RawMemoryOutcomeTableFull,10728.0,8.389261744966443e-05,True
coverage_sparse,PrototypeOutcomeTable,11160.0,7.928507424475167e-05,False
coverage_extremely_sparse,AEPCompressor,56452.0,1.625907218268871e-05,False
coverage_extremely_sparse,ResidualCompressor,38840.0,2.301873375508803e-05,False
coverage_extremely_sparse,RawMemoryOutcomeTableFull,9288.0,9.645061728393326e-05,True
coverage_extremely_sparse,PrototypeOutcomeTable,9720.0,9.100039192630912e-05,False
action_effect_simple_sign_flip,AEPCompressor,66532.0,1.4722238922623699e-05,False
action_effect_simple_sign_flip,ResidualCompressor,48920.0,2.0087217225402016e-05,False
action_effect_simple_sign_flip,RawMemoryOutcomeTableFull,19368.0,4.341353435219606e-05,True
action_effect_simple_sign_flip,PrototypeOutcomeTable,19800.0,4.250000000000001e-05,False
action_effect_mode_conditioned_gain,AEPCompressor,66532.0,1.3760295797510972e-05,False
action_effect_mode_conditioned_gain,ResidualCompressor,48920.0,1.8707413464159166e-05,False
action_effect_mode_conditioned_gain,RawMemoryOutcomeTableFull,19368.0,4.15806140713204e-05,True
action_effect_mode_conditioned_gain,PrototypeOutcomeTable,19800.0,4.0530303030303026e-05,False
action_effect_state_dep_nonlinear_gain,AEPCompressor,66532.0,1.3978236036794323e-05,False
action_effect_state_dep_nonlinear_gain,ResidualCompressor,48920.0,1.8850017521317602e-05,False
action_effect_state_dep_nonlinear_gain,RawMemoryOutcomeTableFull,19368.0,4.503931374284535e-05,True
action_effect_state_dep_nonlinear_gain,PrototypeOutcomeTable,19800.0,4.3849206349206344e-05,False
action_effect_delayed_action_effect,AEPCompressor,66532.0,1.287183443889991e-05,False
action_effect_delayed_action_effect,ResidualCompressor,48920.0,1.7477514309076042e-05,False
action_effect_delayed_action_effect,RawMemoryOutcomeTableFull,19368.0,4.275379778787462e-05,True
action_effect_delayed_action_effect,PrototypeOutcomeTable,19800.0,4.175084175084175e-05,False
action_effect_action_velocity_interaction,AEPCompressor,66532.0,1.3314395078057676e-05,False
action_effect_action_velocity_interaction,ResidualCompressor,48920.0,1.822363041700736e-05,False
action_effect_action_velocity_interaction,RawMemoryOutcomeTableFull,19368.0,4.491084951122125e-05,True
action_effect_action_velocity_interaction,PrototypeOutcomeTable,19800.0,4.369528619528619e-05,False
action_effect_piecewise_action_map,AEPCompressor,66532.0,1.3299364716727787e-05,False
action_effect_piecewise_action_map,ResidualCompressor,48920.0,1.834968656309621e-05,False
action_effect_piecewise_action_map,RawMemoryOutcomeTableFull,19368.0,4.0728693377392266e-05,True
action_effect_piecewise_action_map,PrototypeOutcomeTable,19800.0,3.999158249158249e-05,False
action_effect_compositional_action_factors,AEPCompressor,66532.0,1.330186977694944e-05,False
action_effect_compositional_action_factors,ResidualCompressor,48920.0,1.8063505042245844e-05,False
action_effect_compositional_action_factors,RawMemoryOutcomeTableFull,19368.0,4.230345587222912e-05,True
action_effect_compositional_action_factors,PrototypeOutcomeTable,19800.0,4.126262626262626e-05,False
utility_simple_linear,AEPCompressor,62932.0,1.581071632873578e-05,False
utility_simple_linear,ResidualCompressor,45320.0,2.206531332744925e-05,False
utility_simple_linear,MultiGoalPolicyClone,38220.0,9.157509157509158e-07,False
utility_simple_linear,RawMemoryOutcomeTableFull,15768.0,6.310248604769152e-05,True
utility_simple_linear,PrototypeOutcomeTable,16200.0,6.141975308641975e-05,False
utility_target,AEPCompressor,62932.0,1.581071632873578e-05,False
utility_target,ResidualCompressor,45320.0,2.206531332744925e-05,False
utility_target,MultiGoalPolicyClone,38220.0,1.5698587127158554e-06,False
utility_target,RawMemoryOutcomeTableFull,15768.0,6.310248604769152e-05,True
utility_target,PrototypeOutcomeTable,16200.0,6.141975308641975e-05,False
utility_energy_aware,AEPCompressor,62932.0,1.589016716455857e-05,False
utility_energy_aware,ResidualCompressor,45320.0,2.206531332744925e-05,False
utility_energy_aware,MultiGoalPolicyClone,38220.0,2.6164311878597592e-05,False
utility_energy_aware,RawMemoryOutcomeTableFull,15768.0,6.341958396752917e-05,True
utility_energy_aware,PrototypeOutcomeTable,16200.0,6.17283950617284e-05,False
utility_risk_threshold,AEPCompressor,62932.0,9.454649462912349e-06,False
utility_risk_threshold,ResidualCompressor,45320.0,1.2246248896734334e-05,False
utility_risk_threshold,MultiGoalPolicyClone,38220.0,1.8838304552590268e-05,True
utility_risk_threshold,RawMemoryOutcomeTableFull,15768.0,9.830035514967024e-06,True
utility_risk_threshold,PrototypeOutcomeTable,16200.0,5.864197530864198e-06,False
utility_piecewise_regional,AEPCompressor,62932.0,1.2632682895824064e-05,False
utility_piecewise_regional,ResidualCompressor,45320.0,1.7431597528684907e-05,False
utility_piecewise_regional,MultiGoalPolicyClone,38220.0,1.831501831501832e-06,False
utility_piecewise_regional,RawMemoryOutcomeTableFull,15768.0,3.80517503805175e-05,True
utility_piecewise_regional,PrototypeOutcomeTable,16200.0,3.487654320987654e-05,False
utility_nonlinear_interaction,AEPCompressor,62932.0,9.454649462912349e-06,False
utility_nonlinear_interaction,ResidualCompressor,45320.0,1.2246248896734334e-05,False
utility_nonlinear_interaction,MultiGoalPolicyClone,38220.0,1.8838304552590268e-05,True
utility_nonlinear_interaction,RawMemoryOutcomeTableFull,15768.0,9.830035514967024e-06,True
utility_nonlinear_interaction,PrototypeOutcomeTable,16200.0,5.864197530864198e-06,False
utility_compositional_multiobj,AEPCompressor,62932.0,1.589016716455857e-05,False
utility_compositional_multiobj,ResidualCompressor,45320.0,2.206531332744925e-05,False
utility_compositional_multiobj,MultiGoalPolicyClone,38220.0,2.6164311878597592e-05,False
utility_compositional_multiobj,RawMemoryOutcomeTableFull,15768.0,6.341958396752917e-05,True
utility_compositional_multiobj,PrototypeOutcomeTable,16200.0,6.17283950617284e-05,False
utility_adversarial,AEPCompressor,62932.0,1.5731265492912986e-05,False
utility_adversarial,ResidualCompressor,45320.0,2.184466019417476e-05,False
utility_adversarial,MultiGoalPolicyClone,38220.0,4.055468341182627e-06,False
utility_adversarial,RawMemoryOutcomeTableFull,15768.0,6.278538812785387e-05,True
utility_adversarial,PrototypeOutcomeTable,16200.0,6.111111111111111e-05,False
