step,allocator,cost_normalized_regret
333,CyberAllocator,0.0
334,CyberAllocator,0.0
335,CyberAllocator,0.0
336,CyberAllocator,0.0
337,CyberAllocator,0.0
338,CyberAllocator,0.0
339,CyberAllocator,0.0
340,CyberAllocator,0.0
341,CyberAllocator,0.0
342,CyberAllocator,0.0
343,CyberAllocator,0.0
344,CyberAllocator,0.0
345,CyberAllocator,0.01729913504324784
346,CyberAllocator,0.0
347,CyberAllocator,0.0
348,CyberAllocator,0.0
349,CyberAllocator,0.01749912504374781
350,CyberAllocator,0.017549122543872805
351,CyberAllocator,0.0175991200439978
352,CyberAllocator,0.017649117544122794
353,CyberAllocator,0.017699115044247787
354,CyberAllocator,0.01774911254437278
355,CyberAllocator,0.017799110044497777
356,CyberAllocator,0.017849107544622766
357,CyberAllocator,0.017899105044747763
358,CyberAllocator,0.017949102544872756
359,CyberAllocator,0.017999100044997753
360,CyberAllocator,0.018049097545122742
361,CyberAllocator,0.01809909504524774
362,CyberAllocator,0.01814909254537273
363,CyberAllocator,0.018199090045497725
364,CyberAllocator,0.018249087545622718
365,CyberAllocator,0.01829908504574771
366,CyberAllocator,0.018349082545872707
367,CyberAllocator,0.0183990800459977
368,CyberAllocator,0.018449077546122693
369,CyberAllocator,0.018499075046247686
370,CyberAllocator,0.018549072546372683
371,CyberAllocator,0.018599070046497676
372,CyberAllocator,0.01864906754662267
373,CyberAllocator,0.018699065046747662
374,CyberAllocator,0.018749062546872655
375,CyberAllocator,0.018799060046997648
376,CyberAllocator,0.018849057547122645
377,CyberAllocator,0.018899055047247638
378,CyberAllocator,0.01894905254737263
379,CyberAllocator,0.018999050047497624
380,CyberAllocator,0.0
381,CyberAllocator,0.0
382,CyberAllocator,0.0
383,CyberAllocator,0.0191990400479976
384,CyberAllocator,0.019249037548122593
385,CyberAllocator,0.0
386,CyberAllocator,0.019349032548372582
387,CyberAllocator,0.0
388,CyberAllocator,0.019449027548622568
389,CyberAllocator,0.0
390,CyberAllocator,0.0
391,CyberAllocator,0.0
392,CyberAllocator,0.0
393,CyberAllocator,0.019699015049247537
394,CyberAllocator,0.0
395,CyberAllocator,0.0
396,CyberAllocator,0.0
397,CyberAllocator,0.0
398,CyberAllocator,0.0
399,CyberAllocator,0.0
400,CyberAllocator,0.0
401,CyberAllocator,0.0
402,CyberAllocator,0.0
403,CyberAllocator,0.0
404,CyberAllocator,0.0
405,CyberAllocator,0.0
406,CyberAllocator,0.0
407,CyberAllocator,0.0
408,CyberAllocator,0.0
409,CyberAllocator,0.0
410,CyberAllocator,0.0
411,CyberAllocator,0.0
412,CyberAllocator,0.0
413,CyberAllocator,0.0
414,CyberAllocator,0.0
415,CyberAllocator,0.0
416,CyberAllocator,0.0
417,CyberAllocator,0.0
418,CyberAllocator,0.0
419,CyberAllocator,0.0
420,CyberAllocator,0.0
421,CyberAllocator,0.0
422,CyberAllocator,0.0
423,CyberAllocator,0.0
424,CyberAllocator,0.0
425,CyberAllocator,0.0
426,CyberAllocator,0.0
427,CyberAllocator,0.0
428,CyberAllocator,0.0
429,CyberAllocator,0.0
430,CyberAllocator,0.0
431,CyberAllocator,0.0
432,CyberAllocator,0.0
433,CyberAllocator,0.0
434,CyberAllocator,0.0
435,CyberAllocator,0.021798910054497272
436,CyberAllocator,0.0
437,CyberAllocator,0.0
438,CyberAllocator,0.0
439,CyberAllocator,0.0
440,CyberAllocator,0.0
441,CyberAllocator,0.0
442,CyberAllocator,0.0
443,CyberAllocator,0.0
444,CyberAllocator,0.0
445,CyberAllocator,0.02229888505574721
446,CyberAllocator,0.0
447,CyberAllocator,0.0
448,CyberAllocator,0.0
449,CyberAllocator,0.0
450,CyberAllocator,0.0
451,CyberAllocator,0.022598870056497175
452,CyberAllocator,0.022648867556622168
453,CyberAllocator,0.0
454,CyberAllocator,0.0
455,CyberAllocator,0.0
456,CyberAllocator,0.0
457,CyberAllocator,0.022898855057247137
458,CyberAllocator,0.0
459,CyberAllocator,0.0
460,CyberAllocator,0.0
461,CyberAllocator,0.0
462,CyberAllocator,0.023148842557872105
463,CyberAllocator,0.0
464,CyberAllocator,0.0
465,CyberAllocator,0.023298835058247088
466,CyberAllocator,0.0
467,CyberAllocator,0.0
468,CyberAllocator,0.0
469,CyberAllocator,0.0
470,CyberAllocator,0.023548822558872057
471,CyberAllocator,0.0
472,CyberAllocator,0.0
473,CyberAllocator,0.02369881505924704
474,CyberAllocator,0.0
475,CyberAllocator,0.0
476,CyberAllocator,0.02384880755962202
477,CyberAllocator,0.02389880505974701
478,CyberAllocator,0.0
479,CyberAllocator,0.0
480,CyberAllocator,0.024048797560121994
481,CyberAllocator,0.02409879506024699
482,CyberAllocator,0.024148792560371984
483,CyberAllocator,0.024198790060496977
484,CyberAllocator,0.02424878756062197
485,CyberAllocator,0.0
486,CyberAllocator,0.024348782560871956
487,CyberAllocator,0.024398780060996952
488,CyberAllocator,0.024448777561121942
489,CyberAllocator,0.024498775061246935
490,CyberAllocator,0.02454877256137193
491,CyberAllocator,0.024598770061496925
492,CyberAllocator,0.024648767561621918
493,CyberAllocator,0.024698765061746914
494,CyberAllocator,0.024748762561871907
495,CyberAllocator,0.024798760061996897
496,CyberAllocator,0.024848757562121893
497,CyberAllocator,0.024898755062246886
498,CyberAllocator,0.024948752562371883
499,CyberAllocator,0.024998750062496872
500,CyberAllocator,0.0
501,CyberAllocator,0.0
502,CyberAllocator,0.0
503,CyberAllocator,0.0
504,CyberAllocator,0.0
505,CyberAllocator,0.0
