step,PolicyClone,PrototypeOutcome,AEP,GoalInference,SafeFallback
32,7.810578377590157e-18,4.677157143690884e-15,0.9999999999355385,6.445671780951618e-11,1.1077623583716043e-16
33,2.21891431193729e-18,1.3287378249851822e-15,0.999999999981687,1.8311567560527658e-11,3.14705215463768e-17
34,6.303733840829325e-19,3.7748233664940925e-16,0.9999999999947975,5.202149875231097e-12,8.940489075814766e-18
35,1.790833477516271e-19,1.0723930018496678e-16,0.999999999998522,1.4778834872881145e-12,2.5399116692768203e-18
36,5.087595106586724e-20,3.046571027985848e-17,0.9999999999995801,4.198532634346523e-13,7.215658151363693e-19
37,1.4453395189172004e-20,8.655031329508347e-18,0.9999999999998808,1.19276495293978e-13,2.0499028839108734e-19
38,4.106078178742463e-21,2.4588157186105755e-18,0.999999999999966,3.3885367981247194e-14,5.823587738383754e-20
39,1.1664994825973245e-21,6.985271927871155e-19,0.9999999999999905,9.626524994672778e-15,1.6544283347681594e-20
40,3.313918984651517e-22,1.9844522522361396e-19,0.9999999999999972,2.7348082371229705e-15,4.70008049650049e-21
41,9.414542570032743e-23,5.637648443852683e-20,0.9999999999999992,7.769341582735731e-16,1.3352501410512791e-21
42,2.6745859573956674e-23,1.601604671549059e-20,0.9999999999999998,2.2071993132771974e-16,3.7933242643502274e-22
43,7.598255560783147e-24,4.55001327144619e-21,1.0,6.270452594537494e-17,1.0776489387358602e-22
44,2.1585953297679394e-24,1.2926174066608495e-21,1.0,1.7813785779936062e-17,3.0615026668632386e-23
45,6.132373095931645e-25,3.6722085416501395e-22,1.0,5.0607345965727446e-18,8.697450758134199e-24
46,1.742151447707854e-25,1.0432410629687899e-22,1.0,1.4377086922081662e-18,2.470866692651761e-24
47,4.949293885533676e-26,2.963753019797699e-23,1.0,4.084399693773199e-19,7.019507649578865e-25
48,1.2373234713834188e-26,7.409382549494247e-24,0.88,0.12,1.7548769123947165e-25
49,3.093308678458547e-27,1.852345637373562e-24,0.76,0.24,4.387192280986791e-26
50,1.0175357494929432e-27,6.093242228202506e-25,0.8421052631578947,0.15789473684210525,1.4431553555877602e-26
51,3.340217560533159e-28,2.0002004550077343e-25,0.9481686247408431,0.051831375259156875,4.7373793635396415e-27
52,9.927810161142956e-29,5.945005090739933e-26,0.9845946545505336,0.015405345449466359,1.4080460967048704e-27
53,2.857923885026793e-29,1.7113917137468192e-26,0.9955652551768728,0.00443474482312724,4.053349636702074e-28
54,8.149905426980617e-30,4.8803541230154554e-27,0.9987353494230325,0.0012646505769673445,1.155888593628463e-28
55,2.3178122428270443e-30,1.387960220766323e-27,0.999640336612927,0.00035966338707308883,3.287317574001289e-29
56,6.58671290530967e-31,3.9442778535966973e-28,0.9998977915713175,0.00010220842868239515,9.341833945149846e-30
57,1.8713882728051488e-31,1.120631098701105e-28,0.999970960985006,2.9039014993941535e-05,2.6541613006016636e-30
58,5.316575537614132e-32,3.1836898695069937e-29,0.9999917500756526,8.249924347435228e-06,7.540417586623498e-31
